banda_raw,n_filas_afectadas,motivo,ids_banda_candidatos,ejemplos
AM Jesus de la Redencion,14,ambiguo_3_bandas_por_contencion,"11,163,2",Montesion / Paso de Misterio / 2006 ; Montesion / Paso de Misterio / 2007 ; Montesion / Paso de Misterio / 2008
CCTT Vera Cruz de Utrera,13,ambiguo_9_bandas_por_contencion,"110,137,154,160,234,258,42,44,88",Jesus Despojado / Paso de Misterio / 1996 ; Jesus Despojado / Paso de Misterio / 1997 ; Jesus Despojado / Paso de Misterio / 1998
CCTT Jesus Cautivo,13,ambiguo_8_bandas_por_contencion,"117,13,185,199,232,240,268,38",Santa Genoveva / Paso del Cautivo / 2002 ; Santa Genoveva / Paso del Cautivo / 2003 ; Santa Genoveva / Paso del Cautivo / 2004
CCTT Centuria Macarena (1980-1992 continuación del tramo anterior; el post consolida 1977-1992),13,ambiguo_2_bandas_por_contencion,"279,5",San Benito / Paso de Cristo / 1980 ; San Benito / Paso de Cristo / 1981 ; San Benito / Paso de Cristo / 1982
B. Cruz Roja Sevilla,13,ambiguo_3_bandas_por_contencion,"14,169,44",Pino Montano / Paso de Palio / 2007 ; Pino Montano / Paso de Palio / 2008 ; Pino Montano / Paso de Palio / 2009
BM Ntra. Sra. del Carmen de Salteras,13,ambiguo_4_bandas_por_contencion,"101,171,214,263",La Hiniesta / Paso de Virgen / 2006 ; La Hiniesta / Paso de Virgen / 2007 ; La Hiniesta / Paso de Virgen / 2008
CCTT Jesús Cautivo,13,ambiguo_8_bandas_por_contencion,"117,13,185,199,232,240,268,38",Santa Genoveva / Paso Cristo (Cautivo) / 2002 ; Santa Genoveva / Paso Cristo (Cautivo) / 2003 ; Santa Genoveva / Paso Cristo (Cautivo) / 2004
CyT Ntra Sra de los Ángeles,12,ambiguo_2_bandas_nombre_identico,"65,71",Paz y Misericordia / Paso / 2015 ; Paz y Misericordia / Paso / 2016 ; Paz y Misericordia / Paso / 2017
B. Nuestra Señora del Rosario (Sanlúcar la Mayor),12,ambiguo_5_bandas_nombre_identico,"107,131,145,167,24",Divino Perdon de Alcosa / Paso de Palio / 2013 ; Divino Perdon de Alcosa / Paso de Palio / 2014 ; Divino Perdon de Alcosa / Paso de Palio / 2015
BM Nuestra Senora del Carmen,11,ambiguo_4_bandas_nombre_identico,"101,171,214,263",El Amor / Paso de Palio / 1989 ; El Amor / Paso de Palio / 1990 ; El Amor / Paso de Palio / 1991
