ID_BANDA,BANDA,CLAVE_BANDA,HERMANDAD,TITULAR,ANIO,FUENTE,NOTA,LOCALIDAD
,Banda de Cornetas y Tambores Santísimo Cristo de la Vera-Cruz (Los Palacios y Villafranca),banda de cornetas y tambores santisimo cristo de la vera cruz los palacios y villafranca,La Borriquita,La Borriquita,2025,Estacion de Penitencia (Canal Sur) Jerez 2025,titular real: Cristo Rey,Jerez de la Frontera
,Agrupación Musical La Sentencia (Jerez),agrupacion musical la sentencia jerez,La Coronación,La Coronación,2025,Estacion de Penitencia (Canal Sur) Jerez 2025,titular real: Stmo. Cristo De La Coronación,Jerez de la Frontera
,Banda de Cornetas y Tambores Santísimo Cristo de los Remedios (Castilleja de la Cuesta),banda de cornetas y tambores santisimo cristo de los remedios castilleja de la cuesta,El Perdón,El Perdón,2025,Estacion de Penitencia (Canal Sur) Jerez 2025,titular real: Stmo. Cristo Del Perdón,Jerez de la Frontera
,Banda de Cornetas y Tambores Fe y Consuelo (Martos),banda de cornetas y tambores fe y consuelo martos,Pasión,Pasión,2025,Estacion de Penitencia (Canal Sur) Jerez 2025,titular real: Ntro. Padre Jesús De La Pasión,Jerez de la Frontera
,Banda de Cornetas y Tambores Centuria Romana Macarena (Sevilla),banda de cornetas y tambores centuria romana macarena sevilla,El Transporte,El Transporte,2025,Estacion de Penitencia (Canal Sur) Jerez 2025,,Jerez de la Frontera
,Banda de Cornetas y Tambores Presentación al Pueblo (Dos Hermanas),banda de cornetas y tambores presentacion al pueblo dos hermanas,El Transporte,El Transporte,2025,Estacion de Penitencia (Canal Sur) Jerez 2025,,Jerez de la Frontera
,"Agrupación Musical Lágrimas de Dolores (San Fernando, Cádiz)",agrupacion musical lagrimas de dolores san fernando cadiz,La Candelaria,La Candelaria,2025,Estacion de Penitencia (Canal Sur) Jerez 2025,titular real: Ntro. Padre Jesús De Las Misericordias,Jerez de la Frontera
,Agrupación Musical Nuestra Señora de la Estrella (Dos Hermanas),agrupacion musical nuestra senora de la estrella dos hermanas,Sagrada Cena,Sagrada Cena,2025,Estacion de Penitencia (Canal Sur) Jerez 2025,titular real: Señor De La Sagrada Cena,Jerez de la Frontera
,Agrupación Musical Santísimo Cristo de la Clemencia (Jerez),agrupacion musical santisimo cristo de la clemencia jerez,La Clemencia,La Clemencia,2025,Estacion de Penitencia (Canal Sur) Jerez 2025,titular real: Santísimo Cristo De La Clemencia,Jerez de la Frontera
,Banda de Cornetas y Tambores Caridad (Jerez),banda de cornetas y tambores caridad jerez,La Defensión,La Defensión,2025,Estacion de Penitencia (Canal Sur) Jerez 2025,titular real: Cristo De La Defensión,Jerez de la Frontera
,Agrupación Musical Nuestra Señora de Valme (Dos Hermanas),agrupacion musical nuestra senora de valme dos hermanas,El Amor,El Amor,2025,Estacion de Penitencia (Canal Sur) Jerez 2025,titular real: Ntro. Padre Jesús Cautivo,Jerez de la Frontera
,Banda de Cornetas y Tambores Nuestro Padre Jesús Nazareno (Arahal),banda de cornetas y tambores nuestro padre jesus nazareno arahal,El Amor,El Amor,2025,Estacion de Penitencia (Canal Sur) Jerez 2025,titular real: Stmo. Cristo Del Amor,Jerez de la Frontera
