ID_BANDA,BANDA,CLAVE_BANDA,HERMANDAD,TITULAR,ANIO,FUENTE,NOTA,LOCALIDAD
,Agrupación Musical Redencion de Cordoba,agrupacion musical redencion de cordoba,Presentación al Pueblo,Jesús de los Afligidos,2025,gentedepaz.es,,Córdoba
,Banda de Cornetas y Tambores Caido y Fuensanta de Cordoba,banda de cornetas y tambores caido y fuensanta de cordoba,Entrada Triunfal,El Señor de los Reyes,2025,gentedepaz.es,,Córdoba
,Banda de Cornetas y Tambores Salud de Cordoba,banda de cornetas y tambores salud de cordoba,Amor,Jesús del Silencio,2025,gentedepaz.es,,Córdoba
,Banda de Cornetas y Tambores Maestro Valero de Aguilar de la Frontera,banda de cornetas y tambores maestro valero de aguilar de la frontera,Amor,Jesús del Silencio,2025,gentedepaz.es,,Córdoba
,Agrupación Musical Redencion de Cordoba,agrupacion musical redencion de cordoba,Huerto,La Oración en el Huerto,2025,gentedepaz.es,,Córdoba
,Banda de Cornetas y Tambores Coronacion de Espinas,banda de cornetas y tambores coronacion de espinas,Rescatado,El Rescatado,2025,gentedepaz.es,,Córdoba
,Agrupación Musical Gitanos de Sevilla,agrupacion musical gitanos de sevilla,Penas de Santiago,Cristo de las Penas,2025,gentedepaz.es,,Córdoba
,Banda de Cornetas y Tambores Rosario de Linares,banda de cornetas y tambores rosario de linares,Vera Cruz,Cristo del Amor,2025,gentedepaz.es,,Córdoba
,Agrupación Musical Pasion de Linares,agrupacion musical pasion de linares,Esperanza,Jesús de las Penas,2025,gentedepaz.es,,Córdoba
,Banda de Cornetas y Tambores Coronacion de Espinas,banda de cornetas y tambores coronacion de espinas,Merced,Jesús Humilde,2025,gentedepaz.es,,Córdoba
,Banda de Cornetas y Tambores Elevacion de Campo de Criptana,banda de cornetas y tambores elevacion de campo de criptana,Sentencia,La Sentencia,2025,gentedepaz.es,,Córdoba
,Agrupación Musical Redencion,agrupacion musical redencion,Redención,La Redención,2025,gentedepaz.es,,Córdoba
,Banda de Cornetas y Tambores Salud de Cordoba,banda de cornetas y tambores salud de cordoba,Agonía,Cristo de la Agonía,2025,gentedepaz.es,,Córdoba
,Banda de Cornetas y Tambores Cautivo de Malaga,banda de cornetas y tambores cautivo de malaga,Sangre,Jesús de la Sangre,2025,gentedepaz.es,,Córdoba
,Banda de Cornetas y Tambores Monte Calvario,banda de cornetas y tambores monte calvario,Buen Suceso,Jesús del Buen Suceso,2025,gentedepaz.es,,Córdoba
,Agrupación Musical Pasion de Linares,agrupacion musical pasion de linares,Santa Faz,La Santa Faz,2025,gentedepaz.es,,Córdoba
,Agrupación Musical Cristo de Gracia,agrupacion musical cristo de gracia,Prendimiento,El Prendimiento,2025,gentedepaz.es,,Córdoba
,Banda de Cornetas y Tambores Coronacion de Espinas,banda de cornetas y tambores coronacion de espinas,Perdón,El Perdón,2025,gentedepaz.es,,Córdoba
,Banda de Cornetas y Tambores Salud de Cordoba,banda de cornetas y tambores salud de cordoba,Paz y Esperanza,Jesús de la Humildad y Paciencia,2025,gentedepaz.es,,Córdoba
,Banda de Cornetas y Tambores Nazareno de Arahal,banda de cornetas y tambores nazareno de arahal,Calvario,El Calvario,2025,gentedepaz.es,,Córdoba
,Agrupación Musical Santo Tomas de Villanueva de Ciudad Real,agrupacion musical santo tomas de villanueva de ciudad real,Pasión,Jesús de la Pasión,2025,gentedepaz.es,,Córdoba
,Banda de Cornetas y Tambores Expiracion de Quesada,banda de cornetas y tambores expiracion de quesada,Piedad,Cristo de la Piedad,2025,gentedepaz.es,,Córdoba
,Agrupación Musical Sagrada Cena de la propia hermandad,agrupacion musical sagrada cena de la propia hermandad,Sagrada Cena,Jesús de la Fe,2025,gentedepaz.es,,Córdoba
,Banda de Cornetas y Tambores Caido y Fuensanta de Cordoba,banda de cornetas y tambores caido y fuensanta de cordoba,Caído,Jesús Caído,2025,gentedepaz.es,,Córdoba
,Agrupación Musical Santisimo Cristo de Gracia,agrupacion musical santisimo cristo de gracia,Cristo de Gracia,Cristo de Gracia,2025,gentedepaz.es,,Córdoba
,Banda de Cornetas y Tambores Coronacion de Espinas,banda de cornetas y tambores coronacion de espinas,Dolores,Cristo de la Clemencia,2025,gentedepaz.es,,Córdoba
,Banda de Cornetas y Tambores Caido y Fuensanta,banda de cornetas y tambores caido y fuensanta,Descendimiento,Cristo del Descendimiento,2025,gentedepaz.es,,Córdoba
,Agrupación Musical Redencion de Cordoba,agrupacion musical redencion de cordoba,Conversión,Cristo de la Conversión,2025,gentedepaz.es,,Córdoba
,Agrupación Musical Santisimo Cristo de Gracia,agrupacion musical santisimo cristo de gracia,Resucitado,El Resucitado,2025,gentedepaz.es,,Córdoba
