ID_BANDA,BANDA,CLAVE_BANDA,HERMANDAD,TITULAR,ANIO,FUENTE,NOTA,LOCALIDAD
,Agrupación Musical María Santísima de la Estrella,agrupacion musical maria santisima de la estrella,Borriquilla,Paso de Misterio,2024,ahoragranada.com,,Granada
,Banda de Cornetas y Tambores Nuestra Señora de la Victoria,banda de cornetas y tambores nuestra senora de la victoria,Santa Cena,Paso de Misterio,2024,ahoragranada.com,,Granada
,Banda de Cornetas y Tambores Cristo de la Elevación del Campo de Criptana,banda de cornetas y tambores cristo de la elevacion del campo de criptana,Maravillas,Paso de Misterio,2024,ahoragranada.com,,Granada
,Banda de Cornetas y Tambores Nuestro Padre Jesús Despojado,banda de cornetas y tambores nuestro padre jesus despojado,Despojado,Paso de Misterio,2024,ahoragranada.com,,Granada
,Agrupación Musical Nuestra Señora de la Cabeza de Exfiliana,agrupacion musical nuestra senora de la cabeza de exfiliana,Cautivo y Encarnacion,Paso de Misterio,2024,ahoragranada.com,,Granada
,Banda de Cornetas y Tambores de Nuestro Padre Jesús Despojado de sus Vestiduras,banda de cornetas y tambores de nuestro padre jesus despojado de sus vestiduras,Huerto,Paso de Misterio,2024,ahoragranada.com,,Granada
,Agrupación Musical Nuestra Señora de las Angustias de Alcalá la Real,agrupacion musical nuestra senora de las angustias de alcala la real,Trabajo y Luz,Paso de Cristo,2024,ahoragranada.com,,Granada
,Agrupación Musical Santa María de la Paz,agrupacion musical santa maria de la paz,El Rescate,Cruz de Guia,2024,ahoragranada.com,,Granada
,Agrupación Musical Nuestro Padre Jesús del Rescate,agrupacion musical nuestro padre jesus del rescate,El Rescate,Paso de Cristo,2024,ahoragranada.com,,Granada
,Banda de Cornetas y Tambores de Nuestro Padres Jesús Despojado de sus Vestiduras,banda de cornetas y tambores de nuestro padres jesus despojado de sus vestiduras,Lanzada,Paso de Misterio,2024,ahoragranada.com,,Granada
,Banda de Cornetas y Tambores de Nuestro Padre Jesús del Gran Poder,banda de cornetas y tambores de nuestro padre jesus del gran poder,Esperanza,Paso de Cristo,2024,ahoragranada.com,,Granada
,Agrupación Musical Dulce Nombre de Jesús,agrupacion musical dulce nombre de jesus,Canilla,Paso de Misterio,2024,ahoragranada.com,,Granada
,Banda de Cornetas y Tambores Fe y Consuelo (Martos),banda de cornetas y tambores fe y consuelo martos,Los Gitanos,Paso de Cristo,2024,ahoragranada.com,,Granada
,Banda de Cornetas y Tambores de Nuestro Padres Jesús Despojado de sus Vestiduras,banda de cornetas y tambores de nuestro padres jesus despojado de sus vestiduras,Estudiantes,Paso de Misterio,2024,ahoragranada.com,,Granada
,Agrupación Musical María Santísima de la Estrella,agrupacion musical maria santisima de la estrella,Paciencia y Penas,Paso de Cristo,2024,ahoragranada.com,,Granada
,Banda de Cornetas y Tambores Nuestro Padre Jesús del Gran Poder,banda de cornetas y tambores nuestro padre jesus del gran poder,Rosario,Paso de Misterio,2024,ahoragranada.com,,Granada
,Agrupación Musical Las Angustias de Alcalá la Areal,agrupacion musical las angustias de alcala la areal,Concha,Paso de Cristo,2024,ahoragranada.com,,Granada
,Banda de Cornetas y Tambores Monte Calvario de Martos,banda de cornetas y tambores monte calvario de martos,Salesianos,Paso de Cristo,2024,ahoragranada.com,,Granada
,Banda de Cornetas y Tambores de Nuestro Padre Jesús Despojado de sus Vestiduras,banda de cornetas y tambores de nuestro padre jesus despojado de sus vestiduras,Aurora,Paso de Misterio,2024,ahoragranada.com,,Granada
,Agrupación Musical María Santísima de la Estrella,agrupacion musical maria santisima de la estrella,Estrella,Paso de Cristo,2024,ahoragranada.com,,Granada
,Banda de Cornetas y Tambores Victoria de Granada,banda de cornetas y tambores victoria de granada,Escolapios,Paso de Cristo,2024,ahoragranada.com,,Granada
,Banda de Cornetas y Tambores de Nuestro Padre Jesús Despojado de sus Vestiduras,banda de cornetas y tambores de nuestro padre jesus despojado de sus vestiduras,Ferroviarios,Paso de Misterio,2024,ahoragranada.com,,Granada
,Agrupación Musical Nuestro Padre Jesús de la Pasión de Linares,agrupacion musical nuestro padre jesus de la pasion de linares,Los Favores,Paso de Cristo,2024,ahoragranada.com,,Granada
,Banda de Cornetas y Tambores de Nuestro Padre Jesús Despojado de sus Vestiduras,banda de cornetas y tambores de nuestro padre jesus despojado de sus vestiduras,Alhambra,Cruz de Guia,2024,ahoragranada.com,,Granada
,Agrupación Musical del Dulce Nombre de Jesús,agrupacion musical del dulce nombre de jesus,Facundillos,Paso de Misterio,2024,ahoragranada.com,,Granada
,Agrupación Musical Jesús Despojado de Jaén,agrupacion musical jesus despojado de jaen,Resurreccion y Triunfo,Paso de Misterio,2024,ahoragranada.com,,Granada
,Banda de Cornetas y Tambores de Nuestro Padre Jesús de sus Vestiduras,banda de cornetas y tambores de nuestro padre jesus de sus vestiduras,Resucitado y Alegria,Paso de Misterio,2024,ahoragranada.com,,Granada
