ID_BANDA,BANDA,CLAVE_BANDA,HERMANDAD,TITULAR,ANIO,FUENTE,NOTA,LOCALIDAD
,Banda de Cornetas y Tambores del Nazareno de Almogía (Málaga),banda de cornetas y tambores del nazareno de almogia malaga,Pollinica,Cruz de Guia,2025,101tv.es,,Malaga
,Agrupación Musical de la Vera Cruz de Campillos (Málaga),agrupacion musical de la vera cruz de campillos malaga,Pollinica,Paso de Cristo,2025,101tv.es,,Malaga
,Agrupación Musical de las Reales Cofradías Fusionadas de San Juan (Málaga),agrupacion musical de las reales cofradias fusionadas de san juan malaga,Lágrimas y Favores,Cruz de Guia,2025,101tv.es,,Malaga
,Agrupación Musical del Rescate de Linares (Jaén),agrupacion musical del rescate de linares jaen,Dulce Nombre,Paso de Cristo,2025,101tv.es,,Malaga
,Agrupación Musical de San Lorenzo Mártir (Málaga),agrupacion musical de san lorenzo martir malaga,Salutación,Paso de Cristo,2025,101tv.es,,Malaga
,Banda de Cornetas y Tambores de Nuestra Señora del Carmen (Málaga),banda de cornetas y tambores de nuestra senora del carmen malaga,Humildad y Paciencia,Paso de Cristo,2025,101tv.es,,Malaga
,Banda de Cornetas y Tambores de la Archicofradía del Paso y la Esperanza (Málaga),banda de cornetas y tambores de la archicofradia del paso y la esperanza malaga,Humidad,Paso de Cristo,2025,101tv.es,,Malaga
,Banda de Cornetas y Tambores del Cautivo (Málaga),banda de cornetas y tambores del cautivo malaga,Salud,Paso de Cristo,2025,101tv.es,,Malaga
,Agrupación Musical del Cautivo de Estepona (Málaga),agrupacion musical del cautivo de estepona malaga,Huerto,Paso de Cristo,2025,101tv.es,,Malaga
,Banda de Cornetas y Tambores del Real Cuerpo de Bomberos de Málaga,banda de cornetas y tambores del real cuerpo de bomberos de malaga,Prendimiento,Cruz de Guia,2025,101tv.es,,Malaga
,Agrupación Musical Virgen de Gracia de Archidona (Málaga),agrupacion musical virgen de gracia de archidona malaga,Prendimiento,Paso de Cristo,2025,101tv.es,,Malaga
,Banda de Cornetas y Tambores del Nazareno de Almogía (Málaga),banda de cornetas y tambores del nazareno de almogia malaga,Pasión,Cruz de Guia,2025,101tv.es,,Malaga
,Banda de Cornetas y Tambores de la Archicofradía del Paso y la Esperanza (Málaga),banda de cornetas y tambores de la archicofradia del paso y la esperanza malaga,Pasión,Paso de Cristo,2025,101tv.es,,Malaga
,Banda de Cornetas y Tambores de Nuestra Señora del Carmen (Málaga),banda de cornetas y tambores de nuestra senora del carmen malaga,Crucifixión,Paso de Cristo,2025,101tv.es,,Malaga
,Banda de Cornetas y Tambores de los Gitanos (Málaga),banda de cornetas y tambores de los gitanos malaga,Columna,Paso de Cristo,2025,101tv.es,,Malaga
,Banda de Cornetas y Tambores Flor entre espinas de Loja (Granada),banda de cornetas y tambores flor entre espinas de loja granada,Dolores del Puente,Cruz de Guia,2025,101tv.es,,Malaga
,Banda de Cornetas y Tambores del Cautivo (Málaga),banda de cornetas y tambores del cautivo malaga,Cautivo,Paso de Cristo,2025,101tv.es,,Malaga
,Banda de Cornetas y Tambores de los Dolores de Alora (Málaga),banda de cornetas y tambores de los dolores de alora malaga,Estudiantes,Cruz de Guia,2025,101tv.es,,Malaga
,Banda de Cornetas y Tambores Suspiros de Pasión de Alameda (Málaga),banda de cornetas y tambores suspiros de pasion de alameda malaga,Rocío,Cruz de Guia,2025,101tv.es,,Malaga
,Agrupación Musical de la Vera Cruz de Campillos (Málaga),agrupacion musical de la vera cruz de campillos malaga,Rocío,Paso de Cristo,2025,101tv.es,,Malaga
,Banda de Cornetas y Tambores de la Archicofradía del Paso y la Esperanza (Málaga),banda de cornetas y tambores de la archicofradia del paso y la esperanza malaga,Penas,Paso de Cristo,2025,101tv.es,,Malaga
,Agrupación Musical del Cautivo de Estepona (Málaga),agrupacion musical del cautivo de estepona malaga,Nueva Esperanza,Paso de Cristo,2025,101tv.es,,Malaga
,Banda de Cornetas y Tambores del Real Cuerpo de Bomberos de Málaga,banda de cornetas y tambores del real cuerpo de bomberos de malaga,Estrella,Cruz de Guia,2025,101tv.es,,Malaga
,Banda de Cornetas y Tambores de Nuestra Señora del Carmen (Málaga),banda de cornetas y tambores de nuestra senora del carmen malaga,Estrella,Paso de Cristo,2025,101tv.es,,Malaga
,Banda de Cornetas y Tambores de la Vera Cruz de Almogía (Málaga),banda de cornetas y tambores de la vera cruz de almogia malaga,Rescate,Cruz de Guia,2025,101tv.es,,Malaga
,Agrupación Musical de San Lorenzo Mártir (Málaga),agrupacion musical de san lorenzo martir malaga,Rescate,Paso de Cristo,2025,101tv.es,,Malaga
,Banda de Cornetas y Tambores del Nazareno de Almogía (Málaga),banda de cornetas y tambores del nazareno de almogia malaga,Sentencia,Cruz de Guia,2025,101tv.es,,Malaga
,Agrupación Musical Arroquia Martínez de Jódar (Jaén),agrupacion musical arroquia martinez de jodar jaen,Sentencia,Paso de Cristo,2025,101tv.es,,Malaga
,Agrupación Musical de las Reales Cofradías Fusionadas de San Juan (Málaga),agrupacion musical de las reales cofradias fusionadas de san juan malaga,Fusionadas,Cruz de Guia,2025,101tv.es,,Malaga
,Agrupación Musical del Cautivo de Estepona (Málaga),agrupacion musical del cautivo de estepona malaga,Fusionadas,Paso de Misterio,2025,101tv.es,,Malaga
,Banda de Cornetas y Tambores de la Coronación de Campillos (Málaga),banda de cornetas y tambores de la coronacion de campillos malaga,Fusionadas,Paso de Misterio,2025,101tv.es,,Malaga
,"Banda de Cornetas, Tambores y Fanfarria de la Brigada Paracaidista del Ejercito de Tierra de Alcalá de Henares (Madrid)",banda de cornetas tambores y fanfarria de la brigada paracaidista del ejercito de tierra de alcala de henares madrid,Fusionadas,Paso de Misterio,2025,101tv.es,,Malaga
,Banda de Cornetas y Tambores de la Archicofradía del Paso y la Esperanza (Málaga),banda de cornetas y tambores de la archicofradia del paso y la esperanza malaga,Mediadora,Paso de Cristo,2025,101tv.es,,Malaga
,Banda de Cornetas y Tambores del Cautivo (Málaga),banda de cornetas y tambores del cautivo malaga,Salesianos,Paso de Cristo,2025,101tv.es,,Malaga
,Agrupación Musical de la Vera Cruz de Campillos (Málaga),agrupacion musical de la vera cruz de campillos malaga,Sangre,Paso de Cristo,2025,101tv.es,,Malaga
,Banda de Cornetas y Tambores del Real Cuerpo de Bomberos de Málaga,banda de cornetas y tambores del real cuerpo de bomberos de malaga,Paloma,Cruz de Guia,2025,101tv.es,,Malaga
,Banda de Cornetas y Tambores de Nuestra Señora del Carmen (Málaga),banda de cornetas y tambores de nuestra senora del carmen malaga,Paloma,Paso de Cristo,2025,101tv.es,,Malaga
,Banda de Cornetas y Tambores del Colegio de Guardias Jóvenes Duque de Ahumada de Valdemoro (Madrid),banda de cornetas y tambores del colegio de guardias jovenes duque de ahumada de valdemoro madrid,Expiración,Cruz de Guia,2025,101tv.es,,Malaga
,Banda de Cornetas y Tambores Lágrimas de Dolores de Churriana (Málaga),banda de cornetas y tambores lagrimas de dolores de churriana malaga,Cena,Cruz de Guia,2025,101tv.es,,Malaga
,Agrupación Musical de la Redención (Córdoba),agrupacion musical de la redencion cordoba,Cena,Paso de Cristo,2025,101tv.es,,Malaga
,Agrupación Musical de San Lorenzo Mártir (Málaga),agrupacion musical de san lorenzo martir malaga,Viñeros,Paso de Cristo,2025,101tv.es,,Malaga
,Banda de Cornetas y Tambores de Nuestra Señora del Carmen (Málaga),banda de cornetas y tambores de nuestra senora del carmen malaga,Zamarrilla,Paso de Cristo,2025,101tv.es,,Malaga
,Banda de Cornetas y Tambores del Real Cuerpo de Bomberos de Málaga,banda de cornetas y tambores del real cuerpo de bomberos de malaga,Misericordia,Cruz de Guia,2025,101tv.es,,Malaga
,Banda de Cornetas y Tambores del Cautivo (Málaga),banda de cornetas y tambores del cautivo malaga,Misericordia,Paso de Cristo,2025,101tv.es,,Malaga
,Banda de Cornetas y Tambores de la Archicofradía del Paso y la Esperanza (Málaga),banda de cornetas y tambores de la archicofradia del paso y la esperanza malaga,Esperanza,Paso de Cristo,2025,101tv.es,,Malaga
,Banda de Cornetas y Tambores de la Archicofradía del Paso y la Esperanza (Málaga),banda de cornetas y tambores de la archicofradia del paso y la esperanza malaga,Amor y Caridad,Paso de Cristo,2025,101tv.es,,Malaga
,Banda de Cornetas y Tambores del Cautivo (Málaga),banda de cornetas y tambores del cautivo malaga,Santo Traslado,Paso de Cristo,2025,101tv.es,,Malaga
,Banda de Cornetas y Tambores del Real Cuerpo de Bomberos de Málaga,banda de cornetas y tambores del real cuerpo de bomberos de malaga,Resucitado,Cruz de Guia,2025,101tv.es,,Malaga
,Banda de Cornetas y Tambores de Nuestra Señora del Carmen (Málaga),banda de cornetas y tambores de nuestra senora del carmen malaga,Resucitado,Paso de Cristo,2025,101tv.es,,Malaga
