ID_BANDA,BANDA,CLAVE_BANDA,HERMANDAD,TITULAR,ANIO,FUENTE,NOTA,LOCALIDAD
,Agrupación Musical Santa Cruz (Huelva),agrupacion musical santa cruz huelva,Asociacion Parroquial de la Bendicion,Paso de Misterio,2025,Cruz de Guia (programa de mano) Huelva 2025,,Huelva
,Banda de Cornetas y Tambores de Aracena,banda de cornetas y tambores de aracena,La Borriquita,Cruz de Guia,2025,Cruz de Guia (programa de mano) Huelva 2025,,Huelva
,Agrupación Musical Santa Cruz,agrupacion musical santa cruz,La Borriquita,Paso de Misterio,2025,Cruz de Guia (programa de mano) Huelva 2025,,Huelva
,"Agrupación Musical Santísimo Cristo del Amor, La Cena",agrupacion musical santisimo cristo del amor la cena,La Cena,Paso de Misterio,2025,Cruz de Guia (programa de mano) Huelva 2025,,Huelva
,Agrupación Musical Virgen de la Oliva. Vejer de la Frontera,agrupacion musical virgen de la oliva vejer de la frontera,La Redencion,Paso de Misterio,2025,Cruz de Guia (programa de mano) Huelva 2025,,Huelva
,Banda de Cornetas y Tambores del Santísimo Cristo de la Expiración (Salud y Esperanza),banda de cornetas y tambores del santisimo cristo de la expiracion salud y esperanza,La Redencion,Paso de Misterio,2025,Cruz de Guia (programa de mano) Huelva 2025,,Huelva
,Banda de Cornetas y Tambores Nuestro Padre Jesús Nazareno,banda de cornetas y tambores nuestro padre jesus nazareno,Los Mutilados,Paso de Misterio,2025,Cruz de Guia (programa de mano) Huelva 2025,,Huelva
,Agrupación Musical Santa Cruz,agrupacion musical santa cruz,El Perdon,Paso de Misterio,2025,Cruz de Guia (programa de mano) Huelva 2025,,Huelva
,"Agrupación Musical Santísimo Cristo del Amor, La Cena",agrupacion musical santisimo cristo del amor la cena,El Cautivo,Paso de Misterio,2025,Cruz de Guia (programa de mano) Huelva 2025,,Huelva
,Banda de Cornetas y Tambores Jesús Nazareno de Huelva,banda de cornetas y tambores jesus nazareno de huelva,Las Tres Caidas,Paso de Misterio,2025,Cruz de Guia (programa de mano) Huelva 2025,,Huelva
,"Agrupación Musical Santísimo Cristo del Amor, La Cena",agrupacion musical santisimo cristo del amor la cena,La Salud,Paso de Misterio,2025,Cruz de Guia (programa de mano) Huelva 2025,,Huelva
,"Banda de Cornetas y Tambores Santísimo Cristo de la Expiración, Salud y Esperanza",banda de cornetas y tambores santisimo cristo de la expiracion salud y esperanza,La Lanzada,Paso de Misterio,2025,Cruz de Guia (programa de mano) Huelva 2025,,Huelva
,Agrupación Musical Nuestro Padre Jesús de la Salud de Sevilla (Los Gitanos),agrupacion musical nuestro padre jesus de la salud de sevilla los gitanos,Pasion,Paso de Misterio,2025,Cruz de Guia (programa de mano) Huelva 2025,,Huelva
,Banda de Cornetas y Tambores Nuestro Padre Jesús Nazareno,banda de cornetas y tambores nuestro padre jesus nazareno,El Prendimiento,Paso de Misterio,2025,Cruz de Guia (programa de mano) Huelva 2025,,Huelva
,Agrupación Musical Juvenil Virgen de los reyes (Sevilla),agrupacion musical juvenil virgen de los reyes sevilla,La Victoria,Paso de Misterio,2025,Cruz de Guia (programa de mano) Huelva 2025,,Huelva
,Banda de Cornetas y Tambores Santísimo Cristo de La Expiración Salud y Esperanza,banda de cornetas y tambores santisimo cristo de la expiracion salud y esperanza,La Esperanza,Paso de Misterio,2025,Cruz de Guia (programa de mano) Huelva 2025,,Huelva
,Banda de Cornetas y Tambores Nuestra Señora del Sol (Sevilla),banda de cornetas y tambores nuestra senora del sol sevilla,La Oracion en el Huerto,Paso de Misterio,2025,Cruz de Guia (programa de mano) Huelva 2025,,Huelva
,"Banda de Cornetas y Tambores Santísimo Cristo de la Expiración, Salud y Esperanza",banda de cornetas y tambores santisimo cristo de la expiracion salud y esperanza,La Buena Muerte,Paso de Cristo,2025,Cruz de Guia (programa de mano) Huelva 2025,,Huelva
,Banda de Cornetas y Tambores Nuestro Padre Jesús Nazareno,banda de cornetas y tambores nuestro padre jesus nazareno,El Nazareno,Paso de Misterio,2025,Cruz de Guia (programa de mano) Huelva 2025,,Huelva
,Agrupación Musical Cristo del Amor,agrupacion musical cristo del amor,La Fe,Paso de Misterio,2025,Cruz de Guia (programa de mano) Huelva 2025,,Huelva
,Agrupación Musical Santa Cruz,agrupacion musical santa cruz,El Resucitado,Paso de Misterio,2025,Cruz de Guia (programa de mano) Huelva 2025,,Huelva
