ID_BANDA,BANDA,CLAVE_BANDA,HERMANDAD,TITULAR,ANIO,FUENTE,NOTA,LOCALIDAD
,Banda de Cornetas y Tambores Santísimo Cristo de la Fe y el Consuelo (Martos),banda de cornetas y tambores santisimo cristo de la fe y el consuelo martos,Entrega de Guadalcacín,Entrega de Guadalcacín,2023,Estacion de Penitencia (Canal Sur) Jerez 2023,titular real: Señor De La Entrega,Jerez de la Frontera
,Banda de Cornetas y Tambores Rosario,banda de cornetas y tambores rosario,Entrega de Guadalcacín,Entrega de Guadalcacín,2023,Estacion de Penitencia (Canal Sur) Jerez 2023,titular real: Señor De La Entrega,Jerez de la Frontera
,Banda de Cornetas y Tambores Rosario (Linares),banda de cornetas y tambores rosario linares,La Borriquita,La Borriquita,2023,Estacion de Penitencia (Canal Sur) Jerez 2023,titular real: Cristo Rey,Jerez de la Frontera
,"Banda de Cornetas y Tambores Santísimo Cristo de la Expiración, Salud y Esperanza (Huelva)",banda de cornetas y tambores santisimo cristo de la expiracion salud y esperanza huelva,Pasión,Pasión,2023,Estacion de Penitencia (Canal Sur) Jerez 2023,,Jerez de la Frontera
,Banda de Cornetas y Tambores Nuestro Padre Jesús de los Remedios (Castilleja de la Cuesta),banda de cornetas y tambores nuestro padre jesus de los remedios castilleja de la cuesta,El Perdón,El Perdón,2023,Estacion de Penitencia (Canal Sur) Jerez 2023,titular real: Cristo Del Perdón,Jerez de la Frontera
,Banda de Cornetas y Tambores Nuestra Señora del Rosario (Cádiz),banda de cornetas y tambores nuestra senora del rosario cadiz,El Transporte,El Transporte,2023,Estacion de Penitencia (Canal Sur) Jerez 2023,,Jerez de la Frontera
,"Banda de Cornetas y Tambores Vera-Cruz (Los Palacios, Sevilla)",banda de cornetas y tambores vera cruz los palacios sevilla,La Coronación,La Coronación,2023,Estacion de Penitencia (Canal Sur) Jerez 2023,titular real: Cristo De La Coronacion,Jerez de la Frontera
,Banda de Cornetas y Tambores Nuestro Padre Jesús del Gran Poder (Granada),banda de cornetas y tambores nuestro padre jesus del gran poder granada,La Sed,La Sed,2023,Estacion de Penitencia (Canal Sur) Jerez 2023,titular real: Cristo De La Sed,Jerez de la Frontera
,Agrupación Musical La Sentencia (Jerez),agrupacion musical la sentencia jerez,La Paz de Fátima,La Paz de Fátima,2023,Estacion de Penitencia (Canal Sur) Jerez 2023,titular real: Jesus De La Paz,Jerez de la Frontera
,"Agrupación Musical Lágrimas de Dolores (San Fernando, Cádiz)",agrupacion musical lagrimas de dolores san fernando cadiz,La Candelaria,La Candelaria,2023,Estacion de Penitencia (Canal Sur) Jerez 2023,titular real: Jesus De La Misericordia,Jerez de la Frontera
,"Agrupación Musical Nuestra Señora de la Estrella (Dos Hermanas, Sevilla)",agrupacion musical nuestra senora de la estrella dos hermanas sevilla,Sagrada Cena,Sagrada Cena,2023,Estacion de Penitencia (Canal Sur) Jerez 2023,titular real: Sagrada Cena,Jerez de la Frontera
,Agrupación Musical San Juan (Jerez),agrupacion musical san juan jerez,Bondad y Misericordia,Bondad y Misericordia,2023,Estacion de Penitencia (Canal Sur) Jerez 2023,titular real: Señor De La Bondad Y Misericordia,Jerez de la Frontera
,Agrupación Musical Polillas (Cádiz),agrupacion musical polillas cadiz,La Salvación,La Salvación,2023,Estacion de Penitencia (Canal Sur) Jerez 2023,titular real: Santísimo Cristo De La Salvación,Jerez de la Frontera
,Agrupación Musical Santísimo Cristo de la Clemencia (Jerez),agrupacion musical santisimo cristo de la clemencia jerez,La Clemencia,La Clemencia,2023,Estacion de Penitencia (Canal Sur) Jerez 2023,titular real: Cristo De La Clemencia,Jerez de la Frontera
,Agrupación Musical La Sentencia (Jerez),agrupacion musical la sentencia jerez,Salud de San Rafael,Salud de San Rafael,2023,Estacion de Penitencia (Canal Sur) Jerez 2023,titular real: Señor De La Salud,Jerez de la Frontera
,Banda de Cornetas y Tambores Centuria Romana Macarena (Sevilla),banda de cornetas y tambores centuria romana macarena sevilla,La Defensión,La Defensión,2023,Estacion de Penitencia (Canal Sur) Jerez 2023,titular real: Cristo De La Defensión,Jerez de la Frontera
,"Agrupación Musical Nuestra Señora de Valme (Dos Hermanas, Sevilla)",agrupacion musical nuestra senora de valme dos hermanas sevilla,El Amor,El Amor,2023,Estacion de Penitencia (Canal Sur) Jerez 2023,titular real: Cautivo,Jerez de la Frontera
,Banda de Cornetas y Tambores Nuestra Señora de la Asunción (Jódar),banda de cornetas y tambores nuestra senora de la asuncion jodar,El Amor,El Amor,2023,Estacion de Penitencia (Canal Sur) Jerez 2023,titular real: Cristo Del Amor,Jerez de la Frontera
,"Agrupación Musical Nuestra Señora de la Estrella (Dos Hermanas, Sevilla)",agrupacion musical nuestra senora de la estrella dos hermanas sevilla,Judíos de San Mateo,Judíos de San Mateo,2023,Estacion de Penitencia (Canal Sur) Jerez 2023,titular real: Señor De Las Penas,Jerez de la Frontera
,Agrupación Musical de la Sentencia (Jerez),agrupacion musical de la sentencia jerez,Soberano Poder,Soberano Poder,2023,Estacion de Penitencia (Canal Sur) Jerez 2023,titular real: Nuestro Padre Jesús Del Soberano Poder Ante Caifás,Jerez de la Frontera
,Agrupación Musical La Clemencia (Jerez),agrupacion musical la clemencia jerez,El Consuelo,El Consuelo,2023,Estacion de Penitencia (Canal Sur) Jerez 2023,titular real: Señor Del Amparo,Jerez de la Frontera
,Banda de Cornetas y Tambores Santísimo Cristo de la Caridad (Jerez),banda de cornetas y tambores santisimo cristo de la caridad jerez,Santa Marta,Santa Marta,2023,Estacion de Penitencia (Canal Sur) Jerez 2023,titular real: Cristo De La Caridad,Jerez de la Frontera
,Banda de Cornetas y Tambores Vera-Cruz (Utrera),banda de cornetas y tambores vera cruz utrera,La Flagelación,La Flagelación,2023,Estacion de Penitencia (Canal Sur) Jerez 2023,titular real: Señor De La Sagrada Flagelación,Jerez de la Frontera
,Agrupación Musical San Juan (Jerez),agrupacion musical san juan jerez,Prendimiento,Prendimiento,2023,Estacion de Penitencia (Canal Sur) Jerez 2023,titular real: Jesús Del Prendimiento,Jerez de la Frontera
,Banda de Cornetas y Tambores Humildad (Huelva),banda de cornetas y tambores humildad huelva,Vera-Cruz,Vera-Cruz,2023,Estacion de Penitencia (Canal Sur) Jerez 2023,titular real: Santo Lignum Crucis,Jerez de la Frontera
,Banda de Cornetas y Tambores Santísimo Cristo de la Caridad (Jerez),banda de cornetas y tambores santisimo cristo de la caridad jerez,La Redención,La Redención,2023,Estacion de Penitencia (Canal Sur) Jerez 2023,titular real: Jesús De La Redención,Jerez de la Frontera
,Banda de Cornetas y Tambores Rosario (Cádiz),banda de cornetas y tambores rosario cadiz,Oración en el Huerto,Oración en el Huerto,2023,Estacion de Penitencia (Canal Sur) Jerez 2023,titular real: Jesús Orando En El Huerto,Jerez de la Frontera
,Agrupación Musical Expiración (Salamanca),agrupacion musical expiracion salamanca,Mayor Dolor,Mayor Dolor,2023,Estacion de Penitencia (Canal Sur) Jerez 2023,,Jerez de la Frontera
,Agrupación Musical Cristo del Calvario de Ubrique (Cádiz),agrupacion musical cristo del calvario de ubrique cadiz,Nazareno,Nazareno,2023,Estacion de Penitencia (Canal Sur) Jerez 2023,titular real: Cruz De Guía,Jerez de la Frontera
,"Agrupación Musical Nuestra Señora de la Estrella (Dos Hermanas, Sevilla)",agrupacion musical nuestra senora de la estrella dos hermanas sevilla,La Yedra,La Yedra,2023,Estacion de Penitencia (Canal Sur) Jerez 2023,titular real: Jesús De La Sentencia,Jerez de la Frontera
,Banda de Cornetas y Tambores Santa Cruz (Almería),banda de cornetas y tambores santa cruz almeria,Misión,Misión,2023,Estacion de Penitencia (Canal Sur) Jerez 2023,titular real: Nuestro Padre Jesús De La Misión Redentora,Jerez de la Frontera
,Agrupación Musical La Sentencia (Jerez),agrupacion musical la sentencia jerez,Las Viñas,Las Viñas,2023,Estacion de Penitencia (Canal Sur) Jerez 2023,,Jerez de la Frontera
,Agrupación Musical San Juan (Jerez),agrupacion musical san juan jerez,El Cristo,El Cristo,2023,Estacion de Penitencia (Canal Sur) Jerez 2023,,Jerez de la Frontera
,Banda de Cornetas y Tambores Santísimo Cristo de la Caridad (Jerez),banda de cornetas y tambores santisimo cristo de la caridad jerez,La Soledad,La Soledad,2023,Estacion de Penitencia (Canal Sur) Jerez 2023,titular real: Sagrado Descendimiento,Jerez de la Frontera
,Banda de Cornetas y Tambores Zoilo Ruiz-Mateos (Rota),banda de cornetas y tambores zoilo ruiz mateos rota,Sacramental de Santiago,Sacramental de Santiago,2023,Estacion de Penitencia (Canal Sur) Jerez 2023,titular real: Cristo De Las Almas,Jerez de la Frontera
