ID_BANDA,BANDA,CLAVE_BANDA,HERMANDAD,TITULAR,ANIO,FUENTE,NOTA,LOCALIDAD
,Agrupación Musical Nuestro Padre Jesús de la Redención de Córdoba,agrupacion musical nuestro padre jesus de la redencion de cordoba,Presentación al Pueblo,Jesús de los Afligidos,2024,Paso a Paso (Canal Sur) Cordoba 2024,,Córdoba
,Banda de Cornetas y Tambores Nuestra Señora de la Salud (Córdoba),banda de cornetas y tambores nuestra senora de la salud cordoba,Sangre,Jesús de la Sangre,2024,Paso a Paso (Canal Sur) Cordoba 2024,,Córdoba
,Banda de Cornetas y Tambores Nuestro Padre Jesús Caído y Nuestra Señora de la Fuensanta,banda de cornetas y tambores nuestro padre jesus caido y nuestra senora de la fuensanta,Entrada Triunfal,El Señor de los Reyes,2024,Paso a Paso (Canal Sur) Cordoba 2024,,Córdoba
,Agrupación Musical Santa Cecilia (Aguilar de la Frontera),agrupacion musical santa cecilia aguilar de la frontera,Penas de Santiago,Cristo de las Penas,2024,Paso a Paso (Canal Sur) Cordoba 2024,,Córdoba
,Banda de Cornetas y Tambores Coronación de Espinas,banda de cornetas y tambores coronacion de espinas,Rescatado,El Rescatado,2024,Paso a Paso (Canal Sur) Cordoba 2024,,Córdoba
,Banda de Cornetas y Tambores de Nuestra Señora de los Dolores del Rosario de Baeza (Jaén),banda de cornetas y tambores de nuestra senora de los dolores del rosario de baeza jaen,Vera Cruz,Cristo del Amor,2024,Paso a Paso (Canal Sur) Cordoba 2024,,Córdoba
,"Agrupación Musical Nuestro Padre Jesús de la Pasión de Linares (Linares, Jaén)",agrupacion musical nuestro padre jesus de la pasion de linares linares jaen,Esperanza,Jesús de las Penas,2024,Paso a Paso (Canal Sur) Cordoba 2024,,Córdoba
,Banda de Cornetas y Tambores Nuestra Señora de la Salud (Córdoba),banda de cornetas y tambores nuestra senora de la salud cordoba,Amor,Jesús del Silencio,2024,Paso a Paso (Canal Sur) Cordoba 2024,,Córdoba
,"Banda de Cornetas y Tambores Maestro Valero, de Aguilar de la Frontera (Córdoba)",banda de cornetas y tambores maestro valero de aguilar de la frontera cordoba,Amor,Jesús del Silencio,2024,Paso a Paso (Canal Sur) Cordoba 2024,,Córdoba
,Agrupación Musical Nuestro Padre Jesús de la Redención (Córdoba),agrupacion musical nuestro padre jesus de la redencion cordoba,Huerto,La Oración en el Huerto,2024,Paso a Paso (Canal Sur) Cordoba 2024,,Córdoba
,Agrupación Musical Nuestro Padre Jesús de la Redención,agrupacion musical nuestro padre jesus de la redencion,Redención,La Redención,2024,Paso a Paso (Canal Sur) Cordoba 2024,,Córdoba
,Agrupación Musical Niño perdido de Estepa (Sevilla),agrupacion musical nino perdido de estepa sevilla,Redención,La Redención,2024,Paso a Paso (Canal Sur) Cordoba 2024,,Córdoba
,Banda de Cornetas y Tambores Coronación de Espinas (Córdoba),banda de cornetas y tambores coronacion de espinas cordoba,Merced,Jesús Humilde,2024,Paso a Paso (Canal Sur) Cordoba 2024,,Córdoba
,Banda de Cornetas y Tambores Centuria Romana Macarena (Sevilla),banda de cornetas y tambores centuria romana macarena sevilla,Sentencia,La Sentencia,2024,Paso a Paso (Canal Sur) Cordoba 2024,,Córdoba
,Banda de Cornetas y Tambores Nuestra Señora de la Salud (Córdoba),banda de cornetas y tambores nuestra senora de la salud cordoba,Agonía,Cristo de la Agonía,2024,Paso a Paso (Canal Sur) Cordoba 2024,,Córdoba
,Banda de Cornetas y Tambores Nuestro Padre Jesús Cautivo (Málaga),banda de cornetas y tambores nuestro padre jesus cautivo malaga,Sangre,Jesús de la Sangre,2024,Paso a Paso (Canal Sur) Cordoba 2024,,Córdoba
,Banda de Cornetas y Tambores Monte Calvario (Martos),banda de cornetas y tambores monte calvario martos,Buen Suceso,Jesús del Buen Suceso,2024,Paso a Paso (Canal Sur) Cordoba 2024,,Córdoba
,Agrupación Musical Nuestro Padre Jesús de la Pasión (Linares),agrupacion musical nuestro padre jesus de la pasion linares,Santa Faz,La Santa Faz,2024,Paso a Paso (Canal Sur) Cordoba 2024,,Córdoba
,Agrupación Musical Santísimo Cristo de Gracia (Córdoba),agrupacion musical santisimo cristo de gracia cordoba,Prendimiento,El Prendimiento,2024,Paso a Paso (Canal Sur) Cordoba 2024,,Córdoba
,Banda de Cornetas y Tambores Coronación de Espinas,banda de cornetas y tambores coronacion de espinas,Perdón,El Perdón,2024,Paso a Paso (Canal Sur) Cordoba 2024,,Córdoba
,Banda de Cornetas y Tambores Nuestro Padre Jesús Nazareno (El Arahal),banda de cornetas y tambores nuestro padre jesus nazareno el arahal,Calvario,El Calvario,2024,Paso a Paso (Canal Sur) Cordoba 2024,,Córdoba
,Banda de Cornetas y Tambores Nuestra Señora de la Salud (Córdoba),banda de cornetas y tambores nuestra senora de la salud cordoba,Paz y Esperanza,Jesús de la Humildad y Paciencia,2024,Paso a Paso (Canal Sur) Cordoba 2024,,Córdoba
,Banda de Cornetas y Tambores Nuestro Padre Jesús Caído y Nuestra Señora de la Fuensanta,banda de cornetas y tambores nuestro padre jesus caido y nuestra senora de la fuensanta,Misericordia,Cristo de la Misericordia,2024,Paso a Paso (Canal Sur) Cordoba 2024,,Córdoba
,Agrupación Musical Santo Tomás de Villanueva (Ciudad Real),agrupacion musical santo tomas de villanueva ciudad real,Pasión,Jesús de la Pasión,2024,Paso a Paso (Canal Sur) Cordoba 2024,,Córdoba
,Banda de Cornetas y Tambores Santísimo Cristo de la Expiración de Quesada (Jaén),banda de cornetas y tambores santisimo cristo de la expiracion de quesada jaen,Piedad,Cristo de la Piedad,2024,Paso a Paso (Canal Sur) Cordoba 2024,,Córdoba
,Banda de Cornetas y Tambores del Tercio Gran Capitán 1º de la Legión de Melilla,banda de cornetas y tambores del tercio gran capitan 1 de la legion de melilla,Caridad,Cristo de la Caridad,2024,Paso a Paso (Canal Sur) Cordoba 2024,,Córdoba
,Banda de Cornetas y Tambores Caído y Fuensanta (Córdoba),banda de cornetas y tambores caido y fuensanta cordoba,Caído,Jesús Caído,2024,Paso a Paso (Canal Sur) Cordoba 2024,,Córdoba
,Agrupación Musical Nuestro Padre Jesús de la Fe en su Sagrada Cena,agrupacion musical nuestro padre jesus de la fe en su sagrada cena,Sagrada Cena,Jesús de la Fe,2024,Paso a Paso (Canal Sur) Cordoba 2024,,Córdoba
,Agrupación Musical Santísimo Cristo de Gracia,agrupacion musical santisimo cristo de gracia,Cristo de Gracia,Cristo de Gracia,2024,Paso a Paso (Canal Sur) Cordoba 2024,,Córdoba
,Banda de Cornetas y tambores Caído y Fuensanta,banda de cornetas y tambores caido y fuensanta,Descendimiento,Cristo del Descendimiento,2024,Paso a Paso (Canal Sur) Cordoba 2024,,Córdoba
,Agrupación Musical Nuestro Padre Jesús de la Redención,agrupacion musical nuestro padre jesus de la redencion,Conversión,Cristo de la Conversión,2024,Paso a Paso (Canal Sur) Cordoba 2024,,Córdoba
,Banda de Cornetas y Tambores de la Coronación de Espinas (Córdoba),banda de cornetas y tambores de la coronacion de espinas cordoba,Dolores,Cristo de la Clemencia,2024,Paso a Paso (Canal Sur) Cordoba 2024,,Córdoba
,Agrupación Musical Santísimo Cristo de Gracia (Córdoba),agrupacion musical santisimo cristo de gracia cordoba,Resucitado,El Resucitado,2024,Paso a Paso (Canal Sur) Cordoba 2024,,Córdoba
,Banda de Cornetas y Tambores La Fusión de Marmolejo-Lopera (Jaén),banda de cornetas y tambores la fusion de marmolejo lopera jaen,Resucitado,El Resucitado,2024,Paso a Paso (Canal Sur) Cordoba 2024,,Córdoba
