ID_BANDA,BANDA,CLAVE_BANDA,HERMANDAD,TITULAR,ANIO,FUENTE,NOTA,LOCALIDAD
,Agrupación Musical María Santísima de la Estrella,agrupacion musical maria santisima de la estrella,Borriquilla,Paso de Misterio,2022,ahoragranada.com,,Granada
,Banda de Cornetas y Tambores de Nuestra Señora de la Victoria,banda de cornetas y tambores de nuestra senora de la victoria,Santa Cena,Paso de Misterio,2022,ahoragranada.com,,Granada
,Banda de Cornetas y Tambores Santísimo Cristo de la Elevación del Campo de Criptana,banda de cornetas y tambores santisimo cristo de la elevacion del campo de criptana,Maravillas,Paso de Misterio,2022,ahoragranada.com,,Granada
,Banda de Cornetas y Tambores de Nuestro Padre Jesús Despojado de sus Vestiduras,banda de cornetas y tambores de nuestro padre jesus despojado de sus vestiduras,Despojado,Paso de Misterio,2022,ahoragranada.com,,Granada
,Agrupación Musical Nuestra Señora de la Cabeza de Exfiliana,agrupacion musical nuestra senora de la cabeza de exfiliana,Cautivo y Encarnacion,Paso de Misterio,2022,ahoragranada.com,,Granada
,Banda de Cornetas y Tambores Nuestro Padre Jesús Despojado de sus Vestiduras,banda de cornetas y tambores nuestro padre jesus despojado de sus vestiduras,Huerto,Paso de Misterio,2022,ahoragranada.com,,Granada
,Agrupación Musical Angustias de Alcalá la Real,agrupacion musical angustias de alcala la real,Trabajo y Luz,Paso de Cristo,2022,ahoragranada.com,,Granada
,Agrupación Musical Nuestro Padre Jesús del Rescate,agrupacion musical nuestro padre jesus del rescate,El Rescate,Paso de Cristo,2022,ahoragranada.com,,Granada
,Banda de Cornetas y Tambores Nuestro Padre Jesús Despojado de sus Vestiduras,banda de cornetas y tambores nuestro padre jesus despojado de sus vestiduras,Lanzada,Paso de Misterio,2022,ahoragranada.com,,Granada
,Banda de Cornetas y Tambores de Nuestro Padre Jesús del Gran Poder,banda de cornetas y tambores de nuestro padre jesus del gran poder,Esperanza,Paso de Cristo,2022,ahoragranada.com,,Granada
,Agrupación Musical Dulce Nombre de Jesús,agrupacion musical dulce nombre de jesus,Canilla,Paso de Misterio,2022,ahoragranada.com,,Granada
,Banda de Cornetas y Tampores Fe y Consuelo de Martos,banda de cornetas y tampores fe y consuelo de martos,Los Gitanos,Paso de Cristo,2022,ahoragranada.com,,Granada
,Agrupación Musical Dulce Nombre de Jesús,agrupacion musical dulce nombre de jesus,Estudiantes,Paso de Misterio,2022,ahoragranada.com,,Granada
,Agrupación Musical María Santísima de la Estrella,agrupacion musical maria santisima de la estrella,Paciencia y Penas,Paso de Cristo,2022,ahoragranada.com,,Granada
,Banda de Cornetas y Tambores de Nuestro Padre Jesús del Gran Poder,banda de cornetas y tambores de nuestro padre jesus del gran poder,Rosario,Paso de Misterio,2022,ahoragranada.com,,Granada
,Agrupación Musical Angustias de Alcalá la Real,agrupacion musical angustias de alcala la real,Concha,Paso de Cristo,2022,ahoragranada.com,,Granada
,Banda de Cornetas y Tambores Elevación de Campo de Criptana,banda de cornetas y tambores elevacion de campo de criptana,Salesianos,Paso de Cristo,2022,ahoragranada.com,,Granada
,Banda de Cornetas y Tambores Nuestro Padre Jesús Despojado de sus Vestiduras,banda de cornetas y tambores nuestro padre jesus despojado de sus vestiduras,Aurora,Paso de Misterio,2022,ahoragranada.com,,Granada
,Agrupación Musical María Santísima de la Estrella,agrupacion musical maria santisima de la estrella,Estrella,Paso de Cristo,2022,ahoragranada.com,,Granada
,Banda de Cornetas y Tambores del Cristo de la Expiración,banda de cornetas y tambores del cristo de la expiracion,Escolapios,Paso de Cristo,2022,ahoragranada.com,,Granada
,Banda de Cornetas y Tambores Nuestro Padre Jesús Despojado de sus Vestiduras,banda de cornetas y tambores nuestro padre jesus despojado de sus vestiduras,Ferroviarios,Paso de Misterio,2022,ahoragranada.com,,Granada
,Agrupación Musical Nuestro Padre Jesús de la Pasión de Linares,agrupacion musical nuestro padre jesus de la pasion de linares,Los Favores,Paso de Cristo,2022,ahoragranada.com,,Granada
,Banda de Cornetas y Tambores Nuestro Padre Jesús Despojado de sus Vestiduras,banda de cornetas y tambores nuestro padre jesus despojado de sus vestiduras,Alhambra,Cruz de Guia,2022,ahoragranada.com,,Granada
,Agrupación Musical del Dulce Nombre de Jesús,agrupacion musical del dulce nombre de jesus,Facundillos,Paso de Misterio,2022,ahoragranada.com,,Granada
,Agrupación Musical Virgen de la Estrella,agrupacion musical virgen de la estrella,Resurreccion y Triunfo,Paso de Misterio,2022,ahoragranada.com,,Granada
,Banda de Cornetas y Tambores Nuestro Padre Jesús Despojado de sus Vestiduras,banda de cornetas y tambores nuestro padre jesus despojado de sus vestiduras,Resucitado y Alegria,Paso de Misterio,2022,ahoragranada.com,,Granada
