ANIO,DIA,HERMANDAD,PASO,BANDA
2025,Jueves Santo,Santa Cruz,Virgen de los Dolores,Banda de Música del Maestro Eloy García de la Archicofradía de la Expiración (Málaga)
2025,Jueves Santo,Vera Cruz,Cristo de la Vera Cruz,Banda de Música de la Trinidad Sinfónica (Málaga)
2025,Jueves Santo,Zamarrilla,Cristo de los Milagros,Banda de Cornetas y Tambores de Nuestra Señora del Carmen (Málaga)
2025,Jueves Santo,Zamarrilla,Virgen de la Amargura,Banda de Música de la Zamarrilla (Málaga)
2025,Jueves Santo,Mena,Cruz Guía,Tambores roncos de la Legión Española
2025,Jueves Santo,Mena,Cristo de la Buena Muerte,Banda de Música de la Brigada de la Legión Española
2025,Jueves Santo,Misericordia,Cruz Guía,Banda de Cornetas y Tambores del Real Cuerpo de Bomberos de Málaga
2025,Jueves Santo,Misericordia,Nazareno de la Misericordia,Banda de Cornetas y Tambores del Cautivo (Málaga)
2025,Jueves Santo,Misericordia,Virgen del Gran Poder,Banda de Música de la Cruz de Humilladero (Málaga)
2025,Jueves Santo,Esperanza,Nazareno del Paso,Banda de Cornetas y Tambores de la Archicofradía del Paso y la Esperanza (Málaga)
2025,Jueves Santo,Esperanza,Virgen de la Esperanza,Banda de Música de la Archicofradía del Paso y la Esperanza (Málaga)
2025,Viernes Santo,Monte Calvario,Cristo Yacente,Banda de Música de Santa Cecilia (Málaga)
2025,Viernes Santo,Monte Calvario,Virgen del Monte Calvario,Banda de Música de Nuestra Señora de la Paz (Málaga)
2025,Viernes Santo,Descendimiento,Cristo del Descendimiento,Banda de Música de la Cruz de Humilladero (Málaga)
2025,Viernes Santo,Descendimiento,Virgen de las Angustias,Banda de Música del Rocío (Málaga)
2025,Viernes Santo,Dolores de San Juan,Cristo de la Redención,Capilla Musical
2025,Viernes Santo,Dolores de San Juan,Virgen de los Dolores,Capilla Musical
2025,Viernes Santo,Amor,Cristo del Amor,Banda de Cornetas y Tambores de la Archicofradía del Paso y la Esperanza (Málaga)
2025,Viernes Santo,Amor,Virgen de la Caridad,Banda de Música del Maestro Eloy García de la Archicofradía de la Expiración (Málaga)
2025,Viernes Santo,Soledad de San Pablo,Cruz Guía,Tambores Escuadra Romana
2025,Viernes Santo,Soledad de San Pablo,Cristo del Traslado,Banda de Cornetas y Tambores del Cautivo (Málaga)
2025,Viernes Santo,Soledad de San Pablo,Virgen del Soledad,Banda de Música de la Trinidad Sinfónica (Málaga)
2025,Viernes Santo,Piedad,Cruz Guía,Cuatro tambores de la Banda de Cornetas y Tambores de Nuestra Señora del Carmen (Málaga)
2025,Viernes Santo,Piedad,Virgen de la Piedad,Banda de Música de la Zamarrilla (Málaga)
2025,Viernes Santo,Sepulcro,Cristo del Sepulcro,Banda de Música Municipal de Málaga
2025,Viernes Santo,Sepulcro,Virgen de la Soledad,Banda de Música de la Archicofradía del Paso y la Esperanza (Málaga)
2025,Viernes Santo,Servitas,Virgen de los Dolores,Tambores roncos de la Banda de Cornetas y Tambores del Real Cuerpo de Bomberos de Málaga
2025,Domingo de Resurrección,Resucitado,Cruz Guia,Banda de Cornetas y Tambores del Real Cuerpo de Bomberos de Málaga
2025,Domingo de Resurrección,Resucitado,Cristo Resucitado,Banda de Cornetas y Tambores de Nuestra Señora del Carmen (Málaga)
2025,Domingo de Resurrección,Resucitado,Virgen Reina de los Cielo,Banda de Música de Nuestra Señora de la Paz (Málaga)
