ANIO,DIA,HERMANDAD,PASO,BANDA
2025,Domingo de Ramos,Pollinica,Cruz Guía,Banda de Cornetas y Tambores del Nazareno de Almogía (Málaga)
2025,Domingo de Ramos,Pollinica,Señor de la Entrada en Jerusalén,Agrupación Musical de la Vera Cruz de Campillos (Málaga)
2025,Domingo de Ramos,Pollinica,Virgen del Amparo,Banda de Música de Santa Cecilia (Málaga)
2025,Domingo de Ramos,Lágrimas y Favores,Cruz Guía,Agrupación Musical de las Reales Cofradías Fusionadas de San Juan (Málaga)
2025,Domingo de Ramos,Lágrimas y Favores,Virgen de Lágrimas y Favores,Banda de Música de Arahal (Sevilla)
2025,Domingo de Ramos,Dulce Nombre,Señor de la Soledad,Agrupación Musical del Rescate de Linares (Jaén)
2025,Domingo de Ramos,Dulce Nombre,Virgen del Dulce Nombre,Banda de Música de la Trinidad Sinfónica (Málaga)
2025,Domingo de Ramos,Salutación,Nazareno de la Salutación,Agrupación Musical de San Lorenzo Mártir (Málaga)
2025,Domingo de Ramos,Salutación,Virgen del Patrocinio,Banda de Música del Nazareno de Almogía (Málaga)
2025,Domingo de Ramos,Humildad y Paciencia,Señor de la Humildad y Paciencia,Banda de Cornetas y Tambores de Nuestra Señora del Carmen (Málaga)
2025,Domingo de Ramos,Humildad y Paciencia,Virgen de Dolores y Esperanza,Banda de Música de la Cruz de Humilladero (Málaga)
2025,Domingo de Ramos,Humildad,Señor de la Humildad (Ecce Homo),Banda de Cornetas y Tambores de la Archicofradía del Paso y la Esperanza (Málaga)
2025,Domingo de Ramos,Humildad,Virgen de la Merced,Banda de Música del Maestro Eloy García de la Archicofradía de la Expiración (Málaga)
2025,Domingo de Ramos,Salud,Crucificado de la Esperanza en su Gran Amor,Banda de Cornetas y Tambores del Cautivo (Málaga)
2025,Domingo de Ramos,Salud,Virgen de la Salud,Banda de Música de Nuestra Señora de la Paz (Málaga)
2025,Domingo de Ramos,Huerto,Señor de la Oración en el Huerto,Agrupación Musical del Cautivo de Estepona (Málaga)
2025,Domingo de Ramos,Huerto,Virgen de la Concepción,Banda de Música de la Vera Cruz de Almogía (Málaga)
2025,Domingo de Ramos,Prendimiento,Cruz Guía,Banda de Cornetas y Tambores del Real Cuerpo de Bomberos de Málaga
2025,Domingo de Ramos,Prendimiento,Señor del Prendimiento,Agrupación Musical Virgen de Gracia de Archidona (Málaga)
2025,Domingo de Ramos,Prendimiento,Virgen del Gran Perdón,Banda de Música del Rocío (Málaga)
2025,Lunes Santo,Pasión,Cruz Guía,Banda de Cornetas y Tambores del Nazareno de Almogía (Málaga)
2025,Lunes Santo,Pasión,Nazareno de Pasión,Banda de Cornetas y Tambores de la Archicofradía del Paso y la Esperanza (Málaga)
2025,Lunes Santo,Pasión,Virgen del Amor Doloroso,Banda de Música de Arahal (Sevilla)
2025,Lunes Santo,Crucifixión,Cristo de la Crucifixión,Banda de Cornetas y Tambores de Nuestra Señora del Carmen (Málaga)
2025,Lunes Santo,Crucifixión,Virgen del Mayor Dolor en su Soledad,Banda de Música del Nazareno de Almogía (Málaga)
2025,Lunes Santo,Gitanos,Señor de la Columna,Banda de Cornetas y Tambores de los Gitanos (Málaga)
2025,Lunes Santo,Gitanos,Virgen de la O,Banda de Música de la Zamarrilla (Málaga)
2025,Lunes Santo,Dolores del Puente,Cruz Guía,Banda de Cornetas y Tambores “Flor entre espinas” de Loja (Granada)
2025,Lunes Santo,Dolores del Puente,Cristo del Perdón,Banda de Música de Santa Cecilia (Málaga)
2025,Lunes Santo,Dolores del Puente,Virgen de los Dolores,Banda de Música del Maestro Eloy García de la Archicofradía de la Expiración (Málaga)
2025,Lunes Santo,Cautivo,Cruz Guía,Regulares
2025,Lunes Santo,Cautivo,Señor Cautivo,Banda de Cornetas y Tambores del Cautivo (Málaga)
2025,Lunes Santo,Cautivo,Virgen de la Trinidad,Banda de Música de la Trinidad Sinfónica (Málaga)
2025,Lunes Santo,Estudiantes,Cruz Guía,Banda de Cornetas y Tambores de los Dolores de Alora (Málaga)
2025,Lunes Santo,Estudiantes,Señor Coronado de Espinas,Banda de Música de Nuestra Señora de la Soledad de Mena (Málaga)
2025,Lunes Santo,Estudiantes,Virgen de Gracia y Esperanza,Banda de Música de Nuestra Señora de la Paz (Málaga)
2025,Martes Santo,Rocío,Cruz Guía,Banda de Cornetas y Tambores “Suspiros de Pasión” de Alameda (Málaga)
2025,Martes Santo,Rocío,Nazareno de los Pasos,Agrupación Musical de la Vera Cruz de Campillos (Málaga)
2025,Martes Santo,Rocío,Virgen del Rocío,Banda de Música del Rocío (Málaga)
2025,Martes Santo,Penas,Cristo de la Agonía,Banda de Cornetas y Tambores de la Archicofradía del Paso y la Esperanza (Málaga)
2025,Martes Santo,Penas,Virgen de las Penas,Banda de Música de Nuestra Señora de la Paz (Málaga)
2025,Martes Santo,Nueva Esperanza,Nazareno del Perdón,Agrupación Musical del Cautivo de Estepona (Málaga) desde la salida hasta la Torre Sur de la Catedral y la Agrupación Musical Virgen de Gracia de Archidona (Málaga) desde Torre Sur hasta el encierro
2025,Martes Santo,Nueva Esperanza,Virgen de Nueva Esperanza,Banda de Música de la Zamarrilla (Málaga)
2025,Martes Santo,Estrella,Cruz Guía,Banda de Cornetas y Tambores del Real Cuerpo de Bomberos de Málaga
2025,Martes Santo,Estrella,Señor de la Humillación,Banda de Cornetas y Tambores de Nuestra Señora del Carmen (Málaga)
2025,Martes Santo,Estrella,Virgen de la Estrella,Banda de Música de la Trinidad Sinfónica (Málaga)
2025,Martes Santo,Rescate,Cruz Guía,Banda de Cornetas y Tambores de la Vera Cruz de Almogía (Málaga)
2025,Martes Santo,Rescate,Señor del Rescate,Agrupación Musical de San Lorenzo Mártir (Málaga)
2025,Martes Santo,Rescate,Virgen de Gracia,Banda de Música de la Vera Cruz de Almogía (Málaga)
2025,Martes Santo,Sentencia,Cruz Guía,Banda de Cornetas y Tambores del Nazareno de Almogía (Málaga)
2025,Martes Santo,Sentencia,Señor de la Sentencia,Agrupación Musical Arroquia Martínez de Jódar (Jaén)
2025,Martes Santo,Sentencia,Virgen del Rosario,Banda de Música de Nuestra Señora de la Soledad de Mena (Málaga)
2025,Miércoles Santo,Fusionadas,Cruz Guía,Agrupación Musical de las Reales Cofradías Fusionadas de San Juan (Málaga)
2025,Miércoles Santo,Fusionadas,Señor de Azotes,Agrupación Musical del Cautivo de Estepona (Málaga)
2025,Miércoles Santo,Fusionadas,Cristo de la Exaltación,Banda de Cornetas y Tambores de la Coronación de Campillos (Málaga
2025,Miércoles Santo,Fusionadas,Cristo de Ánimas,"Banda de Cornetas, Tambores y Fanfarria de la Brigada Paracaidista del Ejercito de Tierra de Alcalá de Henares (Madrid)"
2025,Miércoles Santo,Fusionadas,Virgen del Mayor Dolor,Banda de Música de la Archicofradía del Paso y la Esperanza (Málaga)
2025,Miércoles Santo,Mediadora,Nazareno Redentor,Banda de Cornetas y Tambores de la Archicofradía del Paso y la Esperanza (Málaga)
2025,Miércoles Santo,Mediadora,Virgen Mediadora,Banda de Música de la Cruz de Humilladero (Málaga)
2025,Miércoles Santo,Salesianos,Cristo de las Penas,Banda de Cornetas y Tambores del Cautivo (Málaga)
2025,Miércoles Santo,Sangre,Cristo de la Sangre,Agrupación Musical de la Vera Cruz de Campillos (Málaga)
2025,Miércoles Santo,Sangre,Virgen de Consolación y Lágrimas,Banda de Música de Nuestra Señora de la Paz (Málaga)
2025,Miércoles Santo,Rico,Nazareno del Rico,Banda de Música de la Trinidad Sinfónica (Málaga)
2025,Miércoles Santo,Rico,Virgen del Amor,Banda de Música de Nuestra Señora de la Soledad de Mena (Málaga)
2025,Miércoles Santo,Paloma,Cruz Guía,Banda de Cornetas y Tambores del Real Cuerpo de Bomberos de Málaga
2025,Miércoles Santo,Paloma,Señor de la Puente,Banda de Cornetas y Tambores de Nuestra Señora del Carmen (Málaga)
2025,Miércoles Santo,Paloma,Virgen de la Paloma,Agrupación Músico-Cultural de la Santa Vera-Cruz «La Pepa» de Alhaurín el Grande (Málaga)
2025,Miércoles Santo,Expiración,Cruz Guía,Banda de Cornetas y Tambores del Colegio de Guardias Jóvenes “Duque de Ahumada” de Valdemoro (Madrid)
2025,Miércoles Santo,Expiración,Cristo de la Expiración,Banda de Música de los Antiguos Alumnos de la Expiración (Málaga)
2025,Miércoles Santo,Expiración,Virgen de los Dolores,Banda de Música del Maestro Eloy García de la Archicofradía de la Expiración (Málaga)
2025,Jueves Santo,Cena,Cruz Guía,Banda de Cornetas y Tambores “Lágrimas de Dolores” de Churriana (Málaga)
2025,Jueves Santo,Cena,Señor de la Cena,Agrupación Musical de la Redención (Córdoba)
2025,Jueves Santo,Cena,Virgen de la Paz,Banda de Música de Nuestra Señora de la Paz (Málaga)
2025,Jueves Santo,Viñeros,Nazareno de Viñeros,Agrupación Musical de San Lorenzo Mártir (Málaga)
2025,Jueves Santo,Viñeros,Virgen del Traspaso y Soledad,Banda de Música Santa Cecilia de Sorbas (Almería)
2025,Jueves Santo,Santa Cruz,Cruz Guía,Trio de Capilla “Salus Infirmorum” de la Línea de la Concepción (Cádiz)
