ANIO,DIA,HERMANDAD,PASO,BANDA
2023,Domingo de Ramos,Borriquilla,Música misterio,Agrupación Musical María Santísima de la Estrella |
2023,Domingo de Ramos,Borriquilla,Música palio,Banda de música Nuestra Señora de Los Dolores
2023,Domingo de Ramos,Santa Cena,Música misterio,Banda de Cornetas y Tambores Nuestra Señora de la Victoria |
2023,Domingo de Ramos,Santa Cena,Música palio,AGRUPACIÓN Músico – Cultural de la Santa Vera Cruz ‘La Pepa’ de Ahaurín el Grande (Málaga)
2023,Domingo de Ramos,Maravillas,Música misterio,Banda de Cornetas y Tambores del Cristo de la Elevación del Campo de Criptana |
2023,Domingo de Ramos,Maravillas,Música palio,Asociación Musical de San Isidro de Armilla
2023,Domingo de Ramos,Cautivo,Música Señor,Agrupación Musical Nuestra Señora de la Cabeza de Exfiliana |
2023,Domingo de Ramos,Cautivo,Música palio,Banda de Música el Carmen de Dúrcal
2023,Lunes Santo,Huerto,Música misterio,Banda de Cornetas y Tambores de Nuestro Padre Jesús Despojado de sus Vestiduras |
2023,Lunes Santo,Huerto,Música palio,Asociación Musical de San Isidro de Armilla
2023,Lunes Santo,Trabajo y Luz,Música misterio,Agrupación Musical Las Angustias (Alcalá la Real)
2023,Lunes Santo,Trabajo y Luz,Música palio,Banda de Música Felipe Moreno de Cúllar Vega
2023,Lunes Santo,Los Dolores,Música palio,Banda de Música Nuestra Señora de Los Dolores
2023,Lunes Santo,El Rescate,Música Cruz Guía,Agrupación Musical Santa María de la Paz (El Ejido)
2023,Lunes Santo,El Rescate,Música Señor,Agrupación Musical Nuestro Padre Jesús del Rescate
2023,Lunes Santo,San Agustín,Música Cristo,"Capilla Musical Virgen de la Consolación, Cristo de San Agustín y Santo Ángel Custodio |"
2023,Lunes Santo,San Agustín,Música virgen,Coral Ciudad de Granada
2023,Martes Santo,Vía Crucis,Música Señor,Trío de Cañas Áglae |
2023,Martes Santo,Vía Crucis,Música palio,Banda y Unidad de Música Ángeles de Granada
2023,Martes Santo,La Lanzada,Música Cristo,Banda de Cornetas y Tambores de Nuestro Padre Jesús Despojado de sus Vestiduras |
2023,Martes Santo,La Lanzada,Música palio,Asociación Músico Cultural de San Sebastián de Padul
2023,Martes Santo,La Esperanza,Música Señor,Banda de Cornetas y Tambores Nuestro Padre Jesús del Gran Poder |
2023,Martes Santo,La Esperanza,Música palio,Banda de Música Santa María del Alcor
2023,Martes Santo,Cañilla,Música misterio,Agrupación Musical Dulce Nombre de Jesús |
2023,Martes Santo,Cañilla,Música palio,Asociación Musical San Isidro de Armilla
2023,Miércoles Santo,Los Gitanos,Música Cristo,Banda de Cornetas y Tambores Fe y Consuelo (Martos)
2023,Miércoles Santo,Los Gitanos,Música palio,Unión Musical Granatensis
2023,Miércoles Santo,Estudiantes,Música misterio,Banda de Cornetas y Tambores de Nuestro Padre Jesús Despojado de sus Vestiduras |
2023,Miércoles Santo,Estudiantes,Música palio,Banda de Música Nuestra Señora de los Remedios
2023,Miércoles Santo,Paciencia y Penas,Música Señor,Agrupación Musical María Santísima de la Estrella |
2023,Miércoles Santo,Paciencia y Penas,Música palio,Asociación Musical San Isidro de Armilla
2023,Miércoles Santo,Rosario,Música misterio,Banda de Cornetas y Tambores Nuestro Padre Jesús del Gran Poder |
2023,Miércoles Santo,Rosario,Música palio,Banda de Música de Morón de la Frontera (Sevilla)
2023,Miércoles Santo,NazarenoSeñor en silencio,Música palio,Agrupación Músico Cultural San Sebastián de Padul
2023,Jueves Santo,La Concha,Música Señor,Agrupación Musical Las Angustias de Alcalá la Real |
2023,Jueves Santo,La Concha,Música palio,Agrupación Músico Cultural San Sebastián de Padul
2023,Jueves Santo,Salesianos,Música Cristo,Banda de Cornetas y Tambores del Cristo de la Elevación del Campo de Criptana |
