ANIO,PAG,HERMANDAD,TITULAR_FUENTE,BANDA
2023,4,PRO-HERMANDAD DE LA BONDAD,,Agrupación Musical del Santísimo Cristo de Gracia
2023,4,HERMANDAD QUINTA ANGUSTIA,,Música de capilla
2023,6,PRO-HERMANDAD DE LA SALUD,,Agrupación Musical de Ntro. Padre Jesús de la Redención
2023,6,PRESENTACIÓN,,Agrupación Musical Nuestro Padre Jesús de la Redención de Córdoba
2023,7,PRO-HERMANDAD DE LA O,,"Banda de Música Villa de Osuna. Detalles: La Hermandad ha trabajado este año en mejoras de infraestructuras del Paso de cara a futuras novedades, como la salida del Cristo el año próximo"
2023,7,HERMANDAD SANTÍSIMO CRISTO DE LA SANGRE,,Agrupación Musical de Dos Torres. Detalles: Los estatutos ya han sido presentados y esperan su aprobación en breve
2023,8,HDAD. DEL STMO. CRISTO DE LAS LÁGRIMAS,,Agrupación Musical Sagrada Cena (Córdoba). Detalles: Para la Hermandad es de singular valor el tránsito del cortejo procesional por las inmediaciones de la Residencia de Mayores del Parque Figueroa
2023,8,PRO-HERMANDAD TRASLADO AL SEPULCRO,,Trío de Capilla Trivium
2023,10,ENTRADA TRIUNFAL (LA BORRIQUITA),,Banda de cornetas y tambores Nuestro Padre Jesús Caído y Nuestra Señora de la Fuensanta en el misterio
2023,10,LAS PENAS DE SANTIAGO,,Agrupación musical Santa Cecilia (Aguilar de la Frontera) en el Señor y Banda de Música Las Golondrinas (Vélez-Málaga) en la Virgen. Hermano mayor: Rafael Francisco Moreno Víctor
2023,12,EL RESCATADO,,"Banda de cornetas y tambores Coronación de Espinas, en el Señor. Banda de música La Estrella, en la Virgen. Hermano mayor: Miguel Ángel Lopera Arias"
2023,12,LA ESPERANZA,,"Agrupación musical Nuestro Padre Jesús de la Pasión de Linares, en el misterio"
2023,13,EL AMOR,,"Banda de cornetas y tambores Ntra. Sra. de la Salud en el Silencio. Banda de CCTT Maestro Valero, de Aguilar de la Frontera, en el Cristo del Amor. Banda de Música Santa Cecilia, de Montoro, en el paso de palio"
2023,13,EL HUERTO,,"Agrupación musical Nuestro Padre Jesús de la Redención, en el misterio"
2023,17,LA MERCED,,"Banda de cornetas y tambores Coronación de Espinas, en el misterio"
2023,18,LA ESTRELLA,,"Agrupación musical Nuestro Padre Jesús de la Redención, en el misterio"
2023,18,VERA-CRUZ,,"Banda de CCTT de Nuestra Señora del Rosario de Linares, en el misterio"
2023,20,LA SENTENCIA,,"Banda de cornetas y tambores Santísimo Cristo de la Victoria (León), en el misterio"
