ANIO,DIA,HERMANDAD,TITULAR,BANDA
2022,,LA ENTREGA LA MORT AJA,?,BCT Stmo. Cristo de la Fe y el Consuelo (Martos) y BCT Rosario (Cádiz)
2022,,LA ENTREGA LA MORT AJA,SAGRADA MORTAJA,Capilla Musical ‘Sonos Angeli’
2022,,MORTAJA ENTREGA,CRISTO REY,BCT Santa Cruz (Almería)
2022,,MORTAJA ENTREGA,VIRGEN DE LA ESTRELLA,BM Maestro Enrique Galán (Rota)
2022,,LA BORRIQUIT A,SEÑOR DE PASIÓN,"BCT Amor de Cristo (San Juan de Aznalfarache, Sevilla)"
2022,,EL PERDON,VIRGEN DEL PERPETUO SOCORRO,"BM Virgen del Castillo (Lebrija, Sevilla)"
2022,,EL PERDON,CRISTO DEL PERDÓN,BCT Ntro. Padre Jesús de los Remedios (Castilleja de la Cuesta)
2022,,EL TRANSPORTE,VIRGEN DE LA MISERICORDIA,BM Municipal de la Puebla del Río (Sevilla)
2022,,EL TRANSPORTE,SEÑOR DEL CONSUELO,BCT Ntra. Sra. del Rosario (Cádiz
2022,,LA CORONACION,?,"A.F. Ntra. Sra. de Palomares (Trebujena, Cádiz)"
2022,,LA CORONACION,CRISTO DE LA CORONACION,"BCT Vera-Cruz (Los Palacios, Sevilla)"
2022,,LAS ANGUSTIAS,?,Escolanía de Voces Blancas ‘Oratorio Festivo’ y Capilla Musical ‘Sonos Angelis’
2022,,LAS ANGUSTIAS,CRISTO DE LA SED,BCT Ntro. Padre Jesús del Gran Poder (Granada)
2022,,LA P AZ DE FATIMA,?,"BM Virgen de las Angustias (Sanlúcar La Mayor, Sevilla)"
2022,,LA P AZ DE FATIMA,JESUS DE LA PAZ,AM La Sentencia (Jerez)
2022,,LA CANDELARIA,?,"BM Maestro Enrique Galán (Rota, Cádiz)"
2022,,LA CANDELARIA,JESUS DE LA MISERICORDIA,"AM Lágrimas de Dolores (San Fernando, Cádiz)"
2022,,SANT A CENA,?,"BM Ntro. Padre Jesús Nazareno (Rota, Cádiz)"
2022,,SANT A CENA,SAGRADA CENA,"AM Ntra. Sra. de la Estrella (Dos Hermanas, Sevilla)"
2022,,CRISTO DE LA VIGA,VIRGEN DEL SOCORRO,"BM Maestro Agripino Lozano (San Fernando, Cádiz)"
2022,,BONDAD Y MISERICORDIA,?,Agrupación Musical San Juan (Jerez)
2022,,LA SAL V ACION,?,AM ‘Rescate’ (Linares)
2022,,LA SAL V ACION,CRISTO DE LA CLEMENCIA,AM Stmo. Cristo de la Clemencia (Jerez)
2022,,LA SAL V ACION,SALUD Y ESPERANZA,"BM Virgen de las Angustias (Sanlúcar La Mayor, Sevilla)"
2022,MARTES SANTO,SALUD DE SAN RAF AEL,SEÑOR DE LA SALUD,AM La Sentencia (Jerez)
2022,MARTES SANTO,DEFENSION,VIRGEN DE LA O,"BM Ntra. Sra. de la Soledad (Cantillana, Sevilla)"
2022,MARTES SANTO,DEFENSION,CRISTO DE LA DEFENSIÓN,BCT Centuria Romana Macarena (Sevilla)
2022,MARTES SANTO,EL CRISTO DEL AMOR,?,BCT Ntra. Sra. de la Asunción (Jódar)
2022,MARTES SANTO,EL CRISTO DEL AMOR,CAUTIVO,"AM Ntra. Sra. de Valme (Dos Hermanas, Sevilla)"
2022,MARTES SANTO,LOS JUDIOS,?,"BM Maestro Dueñas (El Puerto de Santa María, Cádiz)"
2022,MARTES SANTO,LOS JUDIOS,SEÑOR DE LAS PENAS,"AM Ntra. Sra. de la Estrella (Dos Hermanas, Sevilla)"
2022,MARTES SANTO,LOS JUDIOS,NUESTRO PADRE JESÚS DEL SOBERANO PODER ANTE CAIFÁS,Agrupación Musical de la Sentencia (Jerez)
2022,MARTES SANTO,EL CONSUELO,?,"BM San José Artesano (San Fernando, Cádiz)"
2022,MARTES SANTO,EL CONSUELO,SEÑOR DEL AMPARO,"Banda de Cornetas y Tambores del Santísimo Cristo de la Columna, ‘Los Coloraos’ de Daimiel (Ciudad Real)"
2022,MIERCOLES SANTO,SANT A MART A,?,"BM Sra del Rosario (El Cuervo, Sevilla)"
