ANIO,PAG,DIA,HERMANDAD,PASO,BANDA
2025,4,VIERNES DE DOLORES,La Misión,(prosa),Banda de la Columna y Azotes en la Cruz de Guía y Banda de las Cigarreras en el misterio
2025,4,VIERNES DE DOLORES,Pino Montano,(prosa),"Centuria Juvenil (cruz), Encarnación de San Benito (misterio) la Puebla del Río (palio)"
2025,4,VIERNES DE DOLORES,Dulce Nombre de Bellavista,(prosa),Redención (misterio) y Santa Ana (palio)
2025,4,VIERNES DE DOLORES,Pasión y Muerte,(prosa),Capilla Musical Gólgota
2025,6,VIERNES DE DOLORES,Cristo de la Corona,(prosa),"Capilla Sonos Angelis (cruz), Escolanía y Capilla Musical María Auxiliadora (en el Señor)"
2025,6,VIERNES DE DOLORES,Bendición y Esperanza,(prosa),Ntro. Padre Jesús Nazareno (cruz) Agrupación musical Fraternitas (misterio)
2025,6,VIERNES DE DOLORES,Paz y Misericordia,(prosa),Banda de Nuestra Señora de los Ángeles
2025,10,SABADO DE PASION,La Milagrosa,(prosa),"El Rocío (cruz de guía), Agrupación Musical de la Redención (misterio) y la Banda de Música de laCruz Roja (palio)"
2025,10,SABADO DE PASION,Divino Perdón de Alcosa,(prosa),"La Resurrección (cruz de guía); A. M. Virgen de los Reyes en el Nazareno y Santa Ana de Dos Hermanas, en el palio"
2025,10,SABADO DE PASION,Divino Perdón de Alcosa,(prosa),Sentencia de Jerez /Nieves de Olivares
2025,12,SABADO DE PASION,San José Obrero,(prosa),Las Angustias (cruz); Los Gitanos en el Nazareno; B.M Coria del Río (palio)
2025,12,SABADO DE PASION,Padre Pío,(prosa),"Lágrimas de San Fernando (Cristo) Virgen de las Angustias,Sanlúcar la Mayor (palio)"
2025,12,SABADO DE PASION,San Jerónimo,(prosa),Nazareno de la Algaba en el Cristo y el Nazareno de Rota en el palio
2025,12,SABADO DE PASION,El Santo Ángel,(prosa),B. M. de la Puebla del Río
2025,13,SABADO DE PASION,Las Maravillas,(prosa),Agrupación de la Encarnación tras el paso
2025,13,SABADO DE PASION,La Espiga,(prosa),Banda de CC y TT del Sol
2025,16,DOMINGO DE RAMOS,La Borriquita,Cruz de Guia,Banda Sagrada Columna y Azotes
2025,16,DOMINGO DE RAMOS,La Borriquita,(prosa),Banda Cornetas y tambores de Nuestra Señora. del Sol
