ANIO,DIA,HERMANDAD,PASO,BANDA
2022,Domingo de Ramos,La Borriquilla,Música misterio,Agrupación Musical María Santísima de la Estrella
2022,Domingo de Ramos,La Borriquilla,Música palio,Banda de Música de Nuestra Señora de Los Dolores
2022,Domingo de Ramos,Santa Cena,Música misterio,Banda de Cornetas y Tambores de Nuestra Señora de la Victoria
2022,Domingo de Ramos,Santa Cena,Música palio,Banda de Música de Nuestra Señora de los Remedios
2022,Domingo de Ramos,Las Maravillas,Música misterio,Banda de Cornetas y Tambores Santísimo Cristo de la Elevación del Campo de Criptana
2022,Domingo de Ramos,Las Maravillas,Música palio,Asociación Musical San Isidro de Armilla
2022,Domingo de Ramos,Despojado,Música misterio,Banda de Cornetas y Tambores de Nuestro Padre Jesús Despojado de sus Vestiduras
2022,Domingo de Ramos,Despojado,Música palio,Banda y Unidad de Música Ángeles de Granada
2022,Domingo de Ramos,Cautivo,Música Señor,Agrupación Musical Nuestra Señora de la Cabeza de Exfiliana
2022,Domingo de Ramos,Cautivo,Música palio,Banda Sinfónica Municipal de Ogíjares
2022,Lunes Santo,Huerto,Música misterio,Banda de Cornetas y Tambores Nuestro Padre Jesús Despojado de sus Vestiduras
2022,Lunes Santo,Huerto,Música palio,Asociación Musical San Isidro de Armilla
2022,Lunes Santo,Trabajo y Luz,Música misterio,Agrupación Musical Angustias de Alcalá la Real
2022,Lunes Santo,Trabajo y Luz,Música palio,Banda de Música Felipe Moreno de Cúllar vega
2022,Lunes Santo,Los Dolores,Música palio,Banda de Música Nuestra Señora de Los Dolores
2022,Lunes Santo,El Rescate,Música Señor,Agrupación Musical Nuestro Padre Jesús del Rescate
2022,Lunes Santo,San Agustín,Música Cristo,Capilla musical
2022,Lunes Santo,San Agustín,Música palio,Coral y trío de capilla musical
2022,Martes Santo,Vía Crucis,Música Señor,Trío de Cañas ‘Aglae’
2022,Martes Santo,Vía Crucis,Música palio,Banda y Unidad de Música Ángeles de Granada
2022,Martes Santo,La Lanzada,Música Cristo,Banda de Cornetas y Tambores Nuestro Padre Jesús Despojado de sus Vestiduras
2022,Martes Santo,La Lanzada,Música palio,Asociación Músico Cultural de San Sebastián de Padul
2022,Martes Santo,La Esperanza,Música Señor,Banda de Cornetas y Tambores de Nuestro Padre Jesús del Gran Poder
2022,Martes Santo,La Esperanza,Música palio,Banda de Música Santa María del Alcor
2022,Martes Santo,Cañilla,Música misterio,Agrupación Musical Dulce Nombre de Jesús
2022,Martes Santo,Cañilla,Música Virgen,Asociación Musical San Isidro de Armilla
2022,Miércoles Santo,Los Gitanos,Música Cristo,Banda de Cornetas y Tampores Fe y Consuelo de Martos
2022,Miércoles Santo,Los Gitanos,Música palio,Banda de Música de Ugíjar
2022,Miércoles Santo,Estudiantes,Música misterio,Agrupación Musical Dulce Nombre de Jesús
2022,Miércoles Santo,Estudiantes,Música palio,Banda de Música Nuestra Señora de los Remedios
2022,Miércoles Santo,Paciencia y Penas,Música Señor,Agrupación Musical María Santísima de la Estrella
2022,Miércoles Santo,Paciencia y Penas,Música palio,Asociación Musical San Isidro de Armilla
2022,Miércoles Santo,Rosario,Música misterio,Banda de Cornetas y Tambores de Nuestro Padre Jesús del Gran Poder
2022,Miércoles Santo,Rosario,Música palio,Banda de Música de Morón de la Frontera
2022,Miércoles Santo,Señor en silencio,Música palio,Banda Sinfónica Municipal de Ogíjares
2022,Jueves Santo,La Concha,Música Señor,Agrupación Musical Angustias de Alcalá la Real
2022,Jueves Santo,La Concha,Música palio,Asociación Músico Cultural de San Sebastián de Padul
2022,Jueves Santo,Salesianos,Música Cristo,Banda de Cornetas y Tambores Elevación de Campo de Criptana
2022,Jueves Santo,Salesianos,Música palio,Unidad de Música Ángeles de Granada
2022,Jueves Santo,Aurora,Música misterio,Banda de Cornetas y Tambores Nuestro Padre Jesús Despojado de sus Vestiduras
2022,Jueves Santo,Aurora,Música palio,Asociación Musical San Isidro de Armilla
