ANIO,DIA,HERMANDAD,PASO,BANDA
2022,LUNES SANTO,Pasión,Virgen,"Banda de Música Municipal de Arahal (Arahal, Sevilla)"
2022,LUNES SANTO,Columna,Cruz de Guía,"Banda de Cornetas y Tambores Dolores Coronada (Álora, Málaga)"
2022,LUNES SANTO,Columna,Abriendo sección de la Virgen,Banda de Cornetas y Tambores Gitanos
2022,LUNES SANTO,Columna,Virgen,Banda de Música Zamarrilla
2022,LUNES SANTO,Dolores del Puente,Cruz de Guía,Banda de Cornetas y Tambores de las Reales Cofradías Fusionadas
2022,LUNES SANTO,Dolores del Puente,Cristo,Banda de Música “Maestro Eloy García” de la Archicofradía de la Expiración
2022,LUNES SANTO,Dolores del Puente,Virgen,Banda de Música de la Archicofradía del Paso y la Esperanza
2022,LUNES SANTO,Estudiantes,Cruz de Guía,"Banda de Cornetas y Tambores Santísimo Cristo de la Redención (Benalmádena, Málaga)"
2022,LUNES SANTO,Estudiantes,Cristo,Banda de Música Ntra. Sra. de la Soledad
2022,LUNES SANTO,Estudiantes,Virgen,"Banda de Música ""La Soledad"" (Cantillana, Sevilla)"
2022,LUNES SANTO,Cautivo,Cruz de Guía,Banda de Cornetas y Tambores del Real Cuerpo de Bomberos
2022,LUNES SANTO,Cautivo,Cristo,Banda de Cornetas Y Tambores Ntro. Padre Jesús Cautivo
2022,LUNES SANTO,Abriendo Sección de la,Virgen,No lleva
2022,LUNES SANTO,Abriendo Sección de la,Virgen,Banda Sinfónica Virgen de la Trinidad
2022,MARTES SANTO,Rocío,Cruz de Guía,Banda de Cornetas y Tambores de las Reales Cofradías Fusionadas
2022,MARTES SANTO,Rocío,Cristo,"Agrupación Musical Vera Cruz (Campillos, Málaga)"
2022,MARTES SANTO,Rocío,Virgen,Banda de Música Archicofradía del Paso y la Esperanza
2022,MARTES SANTO,Penas,Cruz de Guía,No lleva
2022,MARTES SANTO,Penas,Cristo,Banda de Cornetas y Tambores del Paso y la Esperanza
2022,MARTES SANTO,Penas,Virgen,Banda de Música Nuestra Señora de la Paz
2022,MARTES SANTO,Nueva Esperanza,Cruz de Guía,No Lleva
2022,MARTES SANTO,Nueva Esperanza,Cristo,Agrupación Musical Ecce Mater (Cádiz)
2022,MARTES SANTO,Nueva Esperanza,Virgen,Banda de Música Ntra. Madre de la Consolación (Huelva)
2022,MARTES SANTO,Rescate,Cruz de Guía,"Banda de Cornetas y Tambores de la Vera Cruz (Almogía, Málaga)"
2022,MARTES SANTO,Rescate,Cristo,Agrupación Musical San Lorenzo Mártir
2022,MARTES SANTO,Rescate,Virgen,"Banda de Música de la Vera Cruz (Almogía, Málaga)"
2022,MARTES SANTO,Sentencia,Cruz de Guía,"Banda de Cornetas y Tambores Jesús Nazareno (Almogía, Málaga)"
2022,MARTES SANTO,Sentencia,Cristo,"Agrupación Musical Arroquia Martínez (Jódar, Jaén)"
2022,MARTES SANTO,Sentencia,Virgen,Banda de Música Ntra. Sra. de la Paz
2022,MARTES SANTO,Humillación,Cruz de Guía,Banda de Cornetas y Tambores del Real Cuerpo de Bomberos
2022,MARTES SANTO,Humillación,Cristo,Banda de Cornetas y Tambores Nuestra Señora del Carmen
2022,MARTES SANTO,Humillación,Virgen,Banda de Música “Las Golondrinas” (Vélez-Málaga)
2022,MIÉRCOLES SANTO,Mediadora,Cruz de Guía,No lleva
2022,MIÉRCOLES SANTO,Mediadora,Cristo,Banda de Cornetas y Tambores Gitanos
2022,MIÉRCOLES SANTO,Mediadora,Virgen,Banda de Música “Maestro Eloy García” de la Archicofradía de la Expiración
2022,MIÉRCOLES SANTO,Salesianos,Cristo,Banda de Cornetas y Tambores Ntro. Padre Jesús Cautivo
2022,MIÉRCOLES SANTO,Fusionadas,Cruz de Guía,Banda de Cornetas y Tambores de las Reales Cofradías Fusionadas
2022,MIÉRCOLES SANTO,Fusionadas,Azotes y Columna,"Agrupación Musical Nuestro Padre Jesús Cautivo (Estepona, Málaga)"
2022,MIÉRCOLES SANTO,Fusionadas,Exaltación,"Banda de Cornetas y Tambores Coronación (Campillos, Málaga)"
2022,MIÉRCOLES SANTO,Fusionadas,Ánimas de Ciegos,"Banda de Guerra de la BRIPAC y Compañía de Honores de la Brigada Paracaidista “Almogávares VI” del Ejército de Tierra (Paracuellos de Jarama, Madrid)"
2022,MIÉRCOLES SANTO,Fusionadas,Virgen,Banda de Música de la Archicofradía del Paso y la Esperanza
2022,MIÉRCOLES SANTO,La Puente,Cruz de Guía,"Banda de Cornetas y Tambores Dolores Coronada (Álora, Málaga)"
2022,MIÉRCOLES SANTO,La Puente,Cristo,Banda de Cornetas y Tambores de Nuestra Señora del Carmen
2022,MIÉRCOLES SANTO,La Puente,Virgen,"Agrupación Músico-Cultural de la Santa Vera-Cruz ""La Pepa"" (Alhaurín el Grande, Málaga)"
2022,MIÉRCOLES SANTO,Rico,Cruz de Guía,"Banda de Cornetas y Tambores Stmo. Cristo de la Redención (Benalmádena, Málaga)"
2022,MIÉRCOLES SANTO,Rico,Cristo,Banda Sinfónica Virgen de la Trinidad
2022,MIÉRCOLES SANTO,Rico,Virgen,Banda de Música Ntra. Sra. de la Soledad
2022,MIÉRCOLES SANTO,Sangre,Cruz de Guía,Banda de Cornetas y Tambores del Real Cuerpo de Bomberos
2022,MIÉRCOLES SANTO,Sangre,Cristo,"Agrupación Musical Vera Cruz (Campillos, Málaga)"
2022,MIÉRCOLES SANTO,Sangre,Virgen,Banda de Música Ntra. Sra. de la Paz
2022,MIÉRCOLES SANTO,Expiración,Cruz de Guía,"Banda de Cornetas y Tambores Colegio de guardias jóvenes Duque de Ahumada (Valdemoro, Madrid)"
2022,MIÉRCOLES SANTO,Expiración,Cristo,Banda de Música de la Vera Cruz (Almogía)
2022,MIÉRCOLES SANTO,Expiración,Virgen,Banda de Música “Maestro Eloy García” de la Archicofradía de la Expiración
2022,JUEVES SANTO,Cena,Cruz de Guía,Escuadrón de Clarines de las Reales Cofradías Fusionadas
2022,JUEVES SANTO,Cena,Cristo,Agrupación Musical Nuestro Padre Jesús de la Redención (Córdoba)
2022,JUEVES SANTO,Cena,Virgen,Banda de Música Ntra. Sra. De la Paz
2022,JUEVES SANTO,Santa Cruz,Cruz de Guía,Tambores Roncos
2022,JUEVES SANTO,Santa Cruz,Virgen,Banda de Música “Maestro Eloy García” de la Archicofradía de la Expiración
2022,JUEVES SANTO,Viñeros,Cruz de Guía,No lleva
2022,JUEVES SANTO,Viñeros,Cristo,Agrupación Musical San Lorenzo Mártir
2022,JUEVES SANTO,Viñeros,Virgen,"Banda de Música Santa Cecilia (Sorbas, Almería)"
2022,JUEVES SANTO,Vera Cruz,Cristo,"Banda de Música Maestro Infantes (Los Barrios, Cádiz)"
2022,JUEVES SANTO,Zamarrilla,Cruz de Guía,No lleva
2022,JUEVES SANTO,Zamarrilla,Cristo,Banda de Cornetas y Tambores Nuestra Señora del Carmen
2022,JUEVES SANTO,Zamarrilla,Virgen,Banda de Música Zamarrilla
2022,JUEVES SANTO,Mena,Cruz de Guía,Escuadra de Gastadores y Tambores de la Legión
2022,JUEVES SANTO,Mena,Cristo,"Banda de Guerra del Tercio Gran Capitán, I de la Legión (Melilla) y"
2022,JUEVES SANTO,Mena,Cristo,"Banda de Música de la Brigada de la Legión, Rey Alfonso XIII con sede en Viator (Almería)"
2022,JUEVES SANTO,Mena,Cristo,"Compañía de Honores del Tercio Gran Capitán, I de la Legión, con sede en Melilla"
2022,JUEVES SANTO,Mena,Virgen,Banda de Música Ntra. Sra. de la Soledad
2022,JUEVES SANTO,Misericordia,Cruz de Guía,Banda de Cornetas y Tambores del Real Cuerpo de Bomberos
2022,JUEVES SANTO,Misericordia,Cristo,Banda de Cornetas y Tambores Ntro. Padre Jesús Cautivo
2022,JUEVES SANTO,Misericordia,Virgen,"Banda Municipal de Música “Maestro Paco Tenorio” de Arriate (Arriate, Málaga)"
2022,JUEVES SANTO,Esperanza,Cruz de Guía,Banda de Cornetas y Tambores del Paso y la Esperanza (después del recorrido oficial)
2022,JUEVES SANTO,Esperanza,Cristo,Banda de Música Miraflores-Gibraljaire
2022,JUEVES SANTO,Esperanza,Virgen,Banda de Música de la Archicofradía del Paso y la Esperanza
2022,VIERNES SANTO,Calvario,Cruz de Guía,No Lleva
2022,VIERNES SANTO,Calvario,Cristo,Banda de Música Ntra. Sra. de la Soledad
2022,VIERNES SANTO,Calvario,Virgen,Banda de Música Ntra. Sra. de la Paz
2022,VIERNES SANTO,Descendimiento,Cruz de Guía,Tambores Roncos
2022,VIERNES SANTO,Descendimiento,Cristo,Banda Juvenil de Música Cruz del Humilladero
2022,VIERNES SANTO,Descendimiento,Virgen,Banda de Música las Flores
2022,VIERNES SANTO,Dolores de San JuanDelante del Trono,Cristo,Capilla Musical
2022,VIERNES SANTO,Delante del Trono,Virgen,Capilla Musical
2022,VIERNES SANTO,Amor,Cruz de Guía,No lleva
2022,VIERNES SANTO,Amor,Cristo,Banda de Cornetas y Tambores del Paso y la Esperanza
2022,VIERNES SANTO,Amor,Virgen,Banda de Música “Maestro Eloy García” de la Archicofradía de la Expiración
2022,VIERNES SANTO,Santo Traslado,Cruz de Guía,Banda de Cornetas y Tambores del Real Cuerpo de Bomberos
2022,VIERNES SANTO,Santo Traslado,Cristo,Banda de Cornetas y Tambores Ntro. Padre Jesús Cautivo
2022,VIERNES SANTO,Santo Traslado,Virgen,Banda Sinfónica Virgen de la Trinidad
2022,VIERNES SANTO,Piedad,Cruz de Guía,Tambores Roncos
2022,VIERNES SANTO,Piedad,Virgen,Banda de Música Zamarrilla
2022,VIERNES SANTO,Santo Sepulcro,Cruz de Guía,Tambores Roncos
2022,VIERNES SANTO,Santo Sepulcro,Cristo,Banda Municipal de Música de Málaga
2022,VIERNES SANTO,Santo Sepulcro,Virgen,Banda de Música de la Archicofradía del Paso y la Esperanza
2022,VIERNES SANTO,Servitas,Cruz de Guía,Tambor del Real Cuerpo de Bomberos con uniforme de Luto
2022,VIERNES SANTO,Servitas,Virgen,Tambor del Real Cuerpo de Bomberos con uniforme de Luto
2022,DOMINGO DE RESURRECCIÓN,Resucitado,Cruz de Guía,Banda de Cornetas y Tambores del Real Cuerpo de Bomberos
2022,DOMINGO DE RESURRECCIÓN,Resucitado,Cristo,Banda de Cornetas y Tambores de Nuestra Señora del Carmen
2022,DOMINGO DE RESURRECCIÓN,Resucitado,Virgen,Banda de Música Ntra. Sra. de la Paz
