ANIO,DIA,HERMANDAD,PASO,BANDA
2022,DOMINGO DE RAMOS,Pollinica,Cruz de Guía,"Banda de Cornetas y Tambores Jesús Nazareno (Almogía, Málaga)"
2022,DOMINGO DE RAMOS,Pollinica,Cristo,"Agrupación Musical Stmo. Cristo de la Clemencia (Jerez de la Frontera, Cádiz)"
2022,DOMINGO DE RAMOS,Pollinica,Virgen,"Banda Municipal de Música de Lora del Río (Lora del Río, Sevilla)"
2022,DOMINGO DE RAMOS,Lágrimas y Favores,Cruz de Guía,Banda de Cornetas y Tambores de las Reales Cofradías Fusionadas
2022,DOMINGO DE RAMOS,Lágrimas y Favores,Virgen,Banda de Música Municipal de Arahal (Sevilla)
2022,DOMINGO DE RAMOS,Dulce Nombre,Cristo,"Agrupación Musical Virgen de la Oliva (Vejer de la Frontera, Cádiz)"
2022,DOMINGO DE RAMOS,Dulce Nombre,Virgen,Banda Sinfónica Virgen de la Trinidad
2022,DOMINGO DE RAMOS,Salutación,Cruz de Guía,No Lleva
2022,DOMINGO DE RAMOS,Salutación,Cristo,Agrupación Musical San Lorenzo Mártir
2022,DOMINGO DE RAMOS,Salutación,Virgen,"Banda de Música Jesús Nazareno (Almogía, Málaga)"
2022,DOMINGO DE RAMOS,Humildad y Paciencia,Cruz de Guía,No lleva
2022,DOMINGO DE RAMOS,Humildad y Paciencia,Cristo,Banda de Cornetas y Tambores Ntra. Sra. del Carmen
2022,DOMINGO DE RAMOS,Humildad y Paciencia,Virgen,Banda de Música Ntra. Sra. de la Estrella (Córdoba)
2022,DOMINGO DE RAMOS,Humildad,Cruz de Guía,No Lleva
2022,DOMINGO DE RAMOS,Humildad,Cristo,Banda de Cornetas y Tambores del Paso y la Esperanza
2022,DOMINGO DE RAMOS,Humildad,Virgen,Banda de Música “Maestro Eloy García” de la Archicofradía de la Expiración
2022,DOMINGO DE RAMOS,Salud,Cruz de Guía,Banda de Cornetas y Tambores Gitanos
2022,DOMINGO DE RAMOS,Salud,Cristo,"Agrupación Musical Vera Cruz (Campillos, Málaga)"
2022,DOMINGO DE RAMOS,Salud,Virgen,Banda de Música Ntra. Sra. De la Paz
2022,DOMINGO DE RAMOS,Huerto,Cruz de Guía,"Banda de Cornetas y Tambores Jesús Nazareno (Almogía, Málaga)"
2022,DOMINGO DE RAMOS,Huerto,Cristo,"Agrupación Musical Nuestro Padre Jesús Cautivo (Estepona, Málaga)"
2022,DOMINGO DE RAMOS,Huerto,Virgen,"Banda de Música de la Vera Cruz (Almogía, Málaga)"
2022,DOMINGO DE RAMOS,Prendimiento,Cruz de Guía,Banda de Cornetas y Tambores del Real Cuerpo de Bomberos
2022,DOMINGO DE RAMOS,Prendimiento,Cristo,"Agrupación Musical Nuestra Señora de las Angustias (Alcalá la Real, Jaén)"
2022,DOMINGO DE RAMOS,Prendimiento,Virgen,Banda de Música Ntra. Sra. de la Soledad
2022,LUNES SANTO,Crucifixión,Cruz de Guía,No lleva
2022,LUNES SANTO,Crucifixión,Cristo,"Banda de Cornetas y Tambores San Juan Evangelista (Las Cabezas de San Juan, Sevilla)"
2022,LUNES SANTO,Crucifixión,Virgen,"Banda de Música Jesús Nazareno (Almogía, Málaga)"
2022,LUNES SANTO,Pasión,Cruz de Guía,"Banda de Cornetas y Tambores Jesús Nazareno (Almogía, Málaga)"
2022,LUNES SANTO,Pasión,Cristo,Banda de Cornetas y Tambores del Paso y la Esperanza
