ANIO,PAG,HERMANDAD,TITULAR_FUENTE,TITULAR,BANDA
2023,4,EL PRADO,VIERNES DE DOLORES 31 DE MARZO,Paso de Misterio,Banda Sinfónica del Liceo de la Música de Moguer
2023,6,BENDICIÓN,,Paso de Misterio,Agrupación Musical de la Santa Cruz
2023,8,LA BORRIQUITA,NUESTRA SEÑORA DE LOS ANGELES,Paso de Virgen,Banda de Música Nuestra Señora de las Mercedes de Bollullos del Condado
2023,8,LA BORRIQUITA,DOMINGO DE RAMOS 2 DE ABRIL,Paso de Misterio,Agrupación Musical Lágrimas de Dolores de San Fernando (Cádiz)
2023,8,SAGRADA CENA,MARÍA SANTÍSIMA DEL ROSARIO,Paso de Virgen,Banda de Música AMUECI (Écija)
2023,8,SAGRADA CENA,CRISTO DEL AMOR,Paso de Misterio,Agrupación Musical Santísimo Cristo del Amor
2023,9,VICTORIA,NUESTRA SEÑORA DE LA PAZ,Paso de Virgen,Banda Filarmónica de Pilas (Sevilla)
2023,9,MUTILAOS,NUESTRA SEÑORA DE LA PAZ,Paso de Virgen,Banda de CC y TT Nuestro Padre Jesús Nazareno
2023,9,REDENCIÓN,MARÍA STMA. DEL DULCE NOMBRE,Paso de Virgen,Agrupación Musical de la Santa Cruz
2023,11,CAUTIVO,LUNES SANTO 3 DE ABRIL,Paso de Misterio,Banda de Música Virgen de las Mercedes de Bollulos del Condado
2023,11,CAUTIVO,LUNES SANTO 3 DE ABRIL,Paso de Misterio,Agrupación Musical Polillas (Cádiz)
2023,11,PERDÓN,LUNES SANTO 3 DE ABRIL,Paso de Misterio,Banda Municipal de
2023,11,PERDÓN,MADRE DEL AMOR MISERICORDIOSO,Paso de Misterio,Agrupación Musical de la Santa Cruz
2023,12,TRES CAÍDAS,MARÍA SANTÍSIMA DEL AMOR,Paso de Virgen,Banda Municipal de
2023,12,TRES CAÍDAS,LUNES SANTO 3 DE ABRIL,Paso de Misterio,Banda de Cornetas y Tambores de Nuestro Padre Jesús Nazareno
2023,12,CALVARIO,LUNES SANTO 3 DE ABRIL,Paso de Misterio,Capilla Musical Madre de Consolación
2023,12,CALVARIO,LUNES SANTO 3 DE ABRIL,Paso de Misterio,Capilla Musical Madre de Consolación
2023,15,LANZADA,MARTES SANTO 4 DE ABRIL,Paso de Misterio,Banda de Música Municipal de Aznalcóllar
2023,15,LANZADA,MARÍA SANTISÍMA DEL PATROCINIO,Paso de Virgen,Banda de Cornetas y Tambores Cristo Expiración “Salud y Esperanza”
2023,15,SENTENCIA,NUESTRA SEÑORA DE LA SALUD,Paso de Virgen,Agrupación Musical Santísimo Cristo del Amor
2023,16,ESTUDIANTES,NUESTRA SEÑORA DEL VALLE,Paso de Virgen,Banda Sinfónica del Liceo Municipal de la Música de Moguer
2023,16,ESTUDIANTES,SANTÍSIMO CRISTO DE LA SANGRE,Paso de Misterio,Trío de Capilla Gólgota
2023,16,PASIÓN,MARÍA SANTÍSIMA DEL REFUGIO,Paso de Virgen,Banda de Música Nuestra Señora de las Mercedes de Bollullos del Condado
2023,16,PASIÓN,MARÍA SANTÍSIMA DEL REFUGIO,Paso de Virgen,Agrupación Musical Cristo de la Salud (Gitanos)
2023,18,EL PRENDIMIENTO,MARÍA SANTÍSIMA DE LA ESTRELLA,Paso de Virgen,Banda de Cornetas y Tambores La Asunción de Jodar
2023,18,SANTA CRUZ,MARÍA SANTÍSIMA MADRE DE GRACIA,Paso de Virgen,Capilla Musical Madre de Gracia
2023,20,VICTORIA,,Paso de Misterio,Banda Filármonica de Pilas (Sevilla)
2023,20,VICTORIA,,Paso de Misterio,Banda de Cornetas y Tambores La Humildad
2023,20,ESPERANZA,MARÍA SANTISÍMA DEL MAYOR DOLOR,Paso de Virgen,Banda de Cornetas y Tambores Santísimo Cristo de la Expiración “Salud y Esperanza”
2023,20,ESPERANZA,MARÍA SANTISÍMA DEL MAYOR DOLOR,Paso de Virgen,Banda Sinfónica del Liceo Municipal de la Música de Moguer
2023,23,MISERICORDIA,MARÍA SANTISIMA DE LA CONCEPCIÓN,Paso de Virgen,No lleva
