ANIO,PAG,HERMANDAD,TITULAR_FUENTE,BANDA
2022,4,PRO-HERMANDAD DE LA SALUD,,Agrupación Musical Santí simo Cristo de Gracia
2022,4,PRO-HERMANDAD DE LA SALUD,,Agrupación Musical de la Redención
2022,6,HERMANDAD QUINTA ANGUSTIA,,Agrupación Musical la Unión de Montilla
2022,7,PRO-HERMANDAD TRASLADO AL SEPULCRO,,Banda de Música María Santí sima de la Esperanza
2022,7,PRO-HERMANDAD TRASLADO AL SEPULCRO,,Trío de Capilla
2022,8,HDAD. DEL STMO. CRISTO DE LAS LÁGRIMAS,,Banda de cornetas y tambores de Nuestra Señora de la Salud
2022,8,PRESENTACIÓN,,Agrupación Musical Nuestro Padre Jesús de la Redención
2022,10,LAS PENAS DE SANTIAGO,,Agrupación musical Santa Cecilia (Aguilar de la Frontera) en el Misterio y Banda de
2022,10,ENTRADA TRIUNFAL (LA BORRIQUITA),,Banda de cornetas y tambores Nuestro Padre Jesús Caído y Nuestra Señora de la Fuensanta en el Misterio. Banda sinfónica municipal de Dos Torres (Córdoba) en la Virgen
2022,12,LA ESPERANZA,,"Agrupación musical Nuestro Padre Jesús de la Pasión de Linares, en el Misterio. Banda de música María Santí sima de la Esperanza en la Virgen"
2022,12,EL RESCATADO,,"Banda de cornetas y tambores Coronación de Espinas, en el Señor . Banda de música La Estrella, en la Virgen"
2022,13,EL HUERTO,,"Agrupación musical Nuestro Padre Jesús de la Redención, en el Misterio. Banda de música Tubamirum (Cañete de las Torres) en el Amarrao. Agrupación Musical Ecijana AMUECI en la Virgen"
2022,13,EL AMOR,,"Agrupación musical Santí simo Cristo de Gracia, en el Misterio. Banda de cornetas y tambores Nuestra Señora de la Salud, en el Cristo y banda de música Cristo del Amor, en la Virgen"
2022,17,LA MERCED,,"Banda de cornetas y tambores Coronación de Espinas, en el Misterio. Banda de música Tubamirum (Cañete de las Torres), en la Virgen"
2022,18,LA ESTRELLA,,"Agrupación musical Nuestro Padre Jesús de la Redención, en el Misterio. Banda de música Nuestra Señora de la Estrella, en la Virgen"
2022,18,VERA-CRUZ,,"Banda de cornetas y tambores Fe y Consuelo (Martos), en el Misterio. Banda de música María Santí sima de la Esperanza, en la Virgen"
2022,20,LA SENTENCIA,,"Banda de cornetas y tambores Santí simo Cristo de la Victoria (León), en el Misterio. Banda Municipal de Música Nuestra Señora del Águila (Alcalá de Guadaíra), en la Virgen"
2022,22,ÁNIMAS,,Coro de Hermanos entonando el “Miserere” tras el Cristo mientras que las Hermanas cantan el “Stabat Mater” tras la Virgen
2022,22,VÍA CRUCIS,,Tambores roncos
2022,24,LA AGONÍA,,"Banda de cornetas y tambores Nuestra Señora de la Salud, en el Misterio. Banda de música El Carmen (Dúrcal), en la Virgen"
2022,26,COFRADÍA UNIVERSITARIA,,No lleva acompañamiento musical
2022,26,LA SANGRE,,"Banda de cornetas y tambores Cauti vo (Málaga), en el Misterio. Banda de música María Santí sima de la Esperanza, en la Virgen"
2022,28,EL BUEN SUCESO,,"Banda de cornetas y tambores Monte Calvario (Martos), en el Misterio. Banda de música La Estrella, en la Virgen"
2022,28,LA SANTA FAZ,,"Agrupación musical Nuestro Padre Jesús de la Pasión (Linares), en Cruz de Guía. Agrupación Musical La Victoria, en el Misterio. Banda de música Tubamirum (Cañete de las Torres), en la Virgen"
2022,30,EL PRENDIMIENTO,,"Agrupación musical Santí simo Cristo de Gracia, en el Misterio. Asociación musical de La Algaba (Sevilla), en la Virgen"
2022,32,EL PERDÓN,,"Banda de cornetas y tambores Coronación de Espinas, en el Señor . Banda de música Tubamirum (Cañete de las Torres), en la Virgen"
2022,34,EL CALVARIO,,"Banda de cornetas y tambores Nuestro Padre Jesús Nazareno (El Arahal), en el Misterio. Agrupación Musical Ecijana AMUECI (Écija), en la Virgen"
2022,34,LA PAZ,,"Banda de cornetas y tambores Nuestra Señora de la Salud, en el Misterio. Agrupación musical El Arahal, en la Virgen"
2022,35,LA MISERICORDIA,,"Banda de cornetas y tambores Caído y Fuensanta, en el Misterio. Banda de música María Santí sima de la Esperanza, en la Virgen"
2022,35,LA PASIÓN,,"Agrupación musical Santo Tomás de Villanueva (Ciudad Real), en el Señor . Banda Municipal de Música de Coria del Río, en la Virgen"
2022,36,?,,Agrupación musical Santí simo Cristo de la Bondad de Alcalá de Guadaíra
2022,39,EL NAZARENO,,No lleva acompañamiento musical
2022,40,LA CARIDAD,,Este año le acompañará la banda de cornetas y tambores de la Coronación de Espinas. La Legión irá con el Señor de la Caridad durante su Vía Crucis a hombros en la mañana del Viernes Santo
2022,40,EL CAÍDO,,"Banda de cornetas y tambores Caído y Fuensanta, en el Señor . Banda de música de María Santí sima de la Esperanza, en la Virgen"
2022,42,LA SAGRADA CENA,,"Agrupación musical Nuestro Padre Jesús de la Fe en su Sagrada Cena, en el Misterio. Banda de música Tubamirum (Cañete de las Torres), en la Virgen"
2022,42,LAS ANGUSTIAS,,Banda de música de El Saucejo
2022,44,?,,Agrupación musical Santí simo Cristo de Gracia
2022,47,LA BUENA MUERTE,,No lleva acompañamiento musical
2022,48,LA SOLEDAD,,"Tras 44 años de silencio, la Hermandad estará acompañada por la banda de música Nuestra Señora de la Estrella"
2022,48,LA EXPIRACIÓN,,"Capilla musical “Ars Sacra” de Écija en el Cristo. Agrupación Musical Ecijana AMUECI (Écija), en la Virgen"
2022,50,EL DESCENDIMIENTO,,"Banda de Cornetas y tambores Caído y Fuensanta, en el Misterio. Banda Maestro Enrique Galán (Rota), en la Virgen"
2022,51,LA CONVERSIÓN,,Agrupación musical San Miguel Arcángel (Puertollano)
2022,51,LOS DOLORES,,"Banda de cornetas y tambores de la Coronación de Espinas, en el Cristo. Banda Municipal de Música Fernando Guerrero (Los Palacios y Villafranca), en la Virgen"
2022,52,EL SANTO SEPULCRO,,"Grupo de capilla SIBI, en el Cristo. Música coral polifónica de los siglos XVIXVII, interpretada por el Coro Cantabile, en la Virgen"
2022,54,EL RESUCITADO,,"Agrupación musical Santí simo Cristo de Gracia, en el Misterio. Banda Municipal de"
