ANIO,PAG,HERMANDAD,TITULAR_FUENTE,TITULAR,BANDA
2022,4,EL PRADO,,Paso de Misterio,Banda de Música Ntra. Sra. Del Rosario de Sanlúcar la Mayor (Sevilla)
2022,6,LA BORRIQUITA,,Paso de Misterio,Agrupación Musical Lágrimas de Dolores de San Fernando (Cádiz)
2022,6,LA BORRIQUITA,NUESTRA SEÑORA DE LOS ÁNGELES,Paso de Virgen,Banda de Música Nuestra Señora de las Mercedes de Bollullos del Condado
2022,6,SAGRADA CENA,SEÑOR DE LA ENTRADA EN JERUSALÉN,Paso de Misterio,Agrupación Musical Santí simo Cristo del Amor
2022,6,SAGRADA CENA,MARÍA SANTÍSIMA DEL ROSARIO,Paso de Virgen,Sociedad Filarmónica Virgen de las Angusti as de Sanlúcar la Mayor
2022,8,REDENCIÓN,,Paso de Misterio,Banda de Cornetas y Tambores del Santí simo Cristo de la Expiración
2022,8,MUTILAOS,MARÍA STMA. DEL DULCE NOMBRE,Paso de Virgen,Banda de CC y TT Nuestro Padre Jesús Nazareno
2022,8,MUTILAOS,NUESTRA SEÑORA DE LA PAZ,Paso de Virgen,Banda Filarmónica de Pilas (Sevilla)
2022,10,LOS DOLORES,,Paso de Misterio,Agrupación Musical de la Santa Cruz
2022,10,LOS DOLORES,,Paso de Misterio,Banda Municipal de Música de Bollullos del Condado
2022,10,MISERICORDIA,MADRE DEL AMOR MISERICORDIOSO,Paso de Misterio,Banda de Cornetas y Tambores Cristo Expiración “Salud y Esperanza”
2022,10,MISERICORDIA,MADRE DEL AMOR MISERICORDIOSO,Paso de Misterio,Banda de Música Virgen de las Mercedes de Bollulos del Condado
2022,11,TRES CAÍDAS,,Paso de Misterio,Banda de Cornetas y Tambores de Nuestro Padre Jesús Nazareno
2022,11,TRES CAÍDAS,MARÍA SANTÍSIMA DEL AMOR,Paso de Virgen,Banda Municipal de Música de la Puebla del Río (Sevilla)
2022,11,ESPERANZA,NUESTRO PADRE JESÚS DE LAS PENAS,Paso de Misterio,Capilla Musical Madre de Consolación
