ANIO,PAG,HERMANDAD,TITULAR_FUENTE,TITULAR,BANDA
2022,11,ESPERANZA,NUESTRO PADRE JESÚS DE LAS PENAS,Paso de Misterio,Capilla Musical Madre de Consolación
2022,15,SENTENCIA,,Paso de Misterio,Agrupación Musical Santí simo Cristo del Amor
2022,15,LOS DOLORES,MARÍA SANTISÍMA DEL PATROCINIO,Paso de Virgen,Banda de Cornetas y Tambores Cristo Expiración “Salud y Esperanza”
2022,15,LOS DOLORES,MARÍA SANTISÍMA DEL PATROCINIO,Paso de Virgen,Banda de Música Municipal de Aznalcóllar
2022,16,ESTUDIANTES,SANTÍSIMO CRISTO DE LA SANGRE,Paso de Misterio,Trío de Capilla Gólgota
2022,16,ESTUDIANTES,NUESTRA SEÑORA DEL VALLE,Paso de Virgen,Banda Sinfónica del Liceo Municipal de la Música de Moguer
2022,16,PASIÓN,NUESTRA SEÑORA DEL VALLE,Paso de Virgen,Agrupación Musical Cristo de la Salud (Gitanos)
2022,16,PASIÓN,MARÍA SANTÍSIMA DEL REFUGIO,Paso de Virgen,Banda de Música Nuestra Señora de las Mercedes de Bollullos del Condado
2022,20,EL PRENDIMIENTO,,Paso de Misterio,Banda de Cornetas y Tambores San Juan Evangelista de Las Cabezas de San Juan (Sevilla)
2022,20,SANTA CRUZ,MARÍA SANTÍSIMA MADRE DE GRACIA,Paso de Virgen,Capilla Musical Madre de Gracia
2022,22,VICTORIA,,Paso de Misterio,Banda de Cornetas y Tambores La Humildad
2022,22,VICTORIA,,Paso de Misterio,Banda Filármonica de Pilas (Sevilla)
2022,22,ESPERANZA,NUESTRO PADRE JESÚS DE LA HUMILDAD,Paso de Misterio,Banda de Cornetas y Tambores Santí simo Cristo de la Expiración “Salud y Esperanza”
2022,22,ESPERANZA,NUESTRO PADRE JESÚS DE LA HUMILDAD,Paso de Misterio,Banda Sinfónica del Liceo Municipal de la Música de Moguer
2022,24,VERA+CRUZ,24 14 DE ABRILJUEVES SANTO ORACIÓN DEL HUERTO,Paso de Misterio,Banda de Cornetas y Tambores Nuestra Señora de los Remedios de Casti lleja de la Cuesta
2022,24,LOS DOLORES,24 14 DE ABRILJUEVES SANTO ORACIÓN DEL HUERTO,Paso de Misterio,Banda Sinfónica del Liceo Municipal de la Música de Moguer
2022,24,MISERICORDIA,NUESTRO SEÑOR JESUCRISTO EN EL HUERTO,Paso de Misterio,No lleva
2022,25,BUENA MUERTE,,Paso de Misterio,Banda de Corneta y Tambores Cristo de la Expiración “Salud y Esperanza”
2022,25,BUENA MUERTE,NUESTRA MADRE DE LA CONSOLACIÓN,Paso de Virgen,Banda Municipal de Villalba del Alcor
2022,25,LOS DOLORES,SANTÍSIMO CRISTO DE JERUSALÉN Y BUEN VIAJE,Paso de Misterio,Banda de Cornetas y Tambores de Nuestro Padre Jesús del Gran Poder de Coria del Río
2022,25,LOS DOLORES,SANTÍSIMO CRISTO DE JERUSALÉN Y BUEN VIAJE,Paso de Misterio,Banda de Música Nuestra Señora del Rosario de El Cuervo (Sevilla)
2022,25,LOS DOLORES,NUESTRO PADRE JESÚS DE LAS CADENAS,Paso de Misterio,Banda de Cornetas y Tambores del Santí simo Cristo de la Victoria (León)
2022,28,NAZARENO,,Paso de Misterio,Banda de Cornetas y Tambores Nuestro Padre Jesús Nazareno
2022,28,NAZARENO,MARÍA SANTÍSIMA DE LA AMARGURA,Paso de Virgen,Banda Nuestra Señora de las Mercedes de Bollulos del Condado
2022,30,DESCENDIMIENTO,,Paso de Misterio,Banda de Cornetas y Tambores Santí simo Cristo de la Expiración “Salud y Esperanza”
2022,30,DESCENDIMIENTO,MARÍA SANTÍSIMA EN LA RESIGNACIÓN DE SUS DOLORES,Paso de Virgen,Banda del Liceo Municipal de la Música de Moguer
2022,30,FE,MARÍA SANTÍSIMA EN LA RESIGNACIÓN DE SUS DOLORES,Paso de Virgen,Agrupación Musical del Santí simo Cristo del Amor
2022,30,FE,NUESTRA SEÑORA DE LA CARIDAD,Paso de Virgen,Banda de Música de Nuestra Señora de la Cinta
2022,32,SOLEDAD,CRISTO YACENTE,Paso de Misterio,no lleva
2022,32,SOLEDAD,CRISTO YACENTE,Paso de Misterio,"Banda Municipal de Huelva, que acompaña de oﬁ cio"
2022,32,SOLEDAD,NUESTRA SEÑORA DE LAS ANGUSTIAS,Paso de Virgen,Banda de Música de Nuestra Señora de las Albricias del Cerro del Andévalo
2022,32,SOLEDAD,NUESTRA SEÑORA DE LAS ANGUSTIAS,Paso de Virgen,no lleva
