ANIO,DIA,HERMANDAD,PASO,BANDA
2023,MARTES SANTO,Rocío,Cruz de Guía,"Banda de Cornetas y Tambores Suspiros de Pasión de (Alameda, Málaga)"
2023,MARTES SANTO,Rocío,Cristo,"Agrupación Musical Vera Cruz (Campillos, Málaga)"
2023,MARTES SANTO,Rocío,Virgen,Banda de Música de Virgen del Rocío
2023,MARTES SANTO,Penas,Cristo,Banda de Cornetas y Tambores del Paso y la Esperanza
2023,MARTES SANTO,Penas,Virgen,Banda de Música Nuestra Señora de la Paz
2023,MARTES SANTO,Nueva Esperanza,Cristo,"Agrupación Musical María Santísima de los Dolores “El Rescate” (Linares, Jaén), desde la salida hasta Catedral"
2023,MARTES SANTO,Nueva Esperanza,Cristo,"Agrupación Musical Virgen de Gracia (Archidona, Málaga), desde Catedral hasta el encierro"
2023,MARTES SANTO,Nueva Esperanza,Virgen,Banda de Música Zamarrilla
2023,MARTES SANTO,Rescate,Cruz de Guía,"Banda de Cornetas y Tambores de la Vera Cruz (Almogía, Málaga)"
2023,MARTES SANTO,Rescate,Cristo,Agrupación Musical San Lorenzo Mártir
2023,MARTES SANTO,Rescate,Virgen,"Banda de Música de la Vera Cruz (Almogía, Málaga)"
2023,MARTES SANTO,Sentencia,Cruz de Guía,"Banda de Cornetas y Tambores Jesús Nazareno (Almogía, Málaga)"
2023,MARTES SANTO,Sentencia,Cristo,"Agrupación Musical Arroquia Martínez (Jódar, Jaén)"
2023,MARTES SANTO,Sentencia,Virgen,Banda de Música Ntra. Sra. de la Soledad (Mena)
2023,MARTES SANTO,Humillación,Cruz de Guía,Banda de Cornetas y Tambores del Real Cuerpo de Bomberos
2023,MARTES SANTO,Humillación,Cristo,Banda de Cornetas y Tambores Nuestra Señora del Carmen
2023,MARTES SANTO,Humillación,Virgen,Banda de Música “Las Golondrinas” (Vélez-Málaga)
2023,MIÉRCOLES SANTO,Mediadora,Cristo,Banda de Cornetas y Tambores Gitanos
2023,MIÉRCOLES SANTO,Mediadora,Virgen,"Banda de Música Villa de Osuna (Osuna, Sevilla)"
2023,MIÉRCOLES SANTO,Salesianos,Cristo,Banda de Cornetas y Tambores Ntro. Padre Jesús Cautivo
2023,MIÉRCOLES SANTO,Fusionadas,Cruz de Guía,Banda de Cornetas y Tambores de las Reales Cofradías Fusionadas
2023,MIÉRCOLES SANTO,Fusionadas,Azotes y Columna,"Agrupación Musical Nuestro Padre Jesús Cautivo (Estepona, Málaga)"
2023,MIÉRCOLES SANTO,Fusionadas,Exaltación,"Banda de Cornetas y Tambores Coronación (Campillos, Málaga)"
2023,MIÉRCOLES SANTO,Fusionadas,Ánimas de Ciegos,"Banda de Guerra de la BRIPAC y Compañía de Honores de la Brigada Paracaidista “Almogávares VI” del Ejército de Tierra (Paracuellos de Jarama, Madrid)"
2023,MIÉRCOLES SANTO,Fusionadas,Virgen,Banda de Música de la Archicofradía del Paso y la Esperanza
2023,MIÉRCOLES SANTO,La Puente,Cruz de Guía,Banda de Cornetas y Tambores del Real Cuerpo de Bomberos
2023,MIÉRCOLES SANTO,La Puente,Cristo,Banda de Cornetas y Tambores de Nuestra Señora del Carmen
2023,MIÉRCOLES SANTO,La Puente,Virgen,"Agrupación Músico-Cultural de la Santa Vera-Cruz ""La Pepa"" (Alhaurín el Grande, Málaga)"
2023,MIÉRCOLES SANTO,Rico,Cristo,Banda Sinfónica Virgen de la Trinidad
2023,MIÉRCOLES SANTO,Rico,Virgen,Banda de Música Ntra. Sra. de la Soledad
2023,MIÉRCOLES SANTO,Sangre,Cristo,"Agrupación Musical Vera Cruz (Campillos, Málaga)"
2023,MIÉRCOLES SANTO,Sangre,Virgen,Banda de Música Ntra. Sra. de la Paz
2023,MIÉRCOLES SANTO,Expiración,Cruz de Guía,"Banda de Cornetas y Tambores Colegio de guardias jóvenes Duque de Ahumada (Valdemoro, Madrid)"
2023,MIÉRCOLES SANTO,Expiración,Cristo,Banda de Música de la Vera Cruz (Almogía)
2023,MIÉRCOLES SANTO,Expiración,Virgen,Banda de Música “Maestro Eloy García” de la Archicofradía de la Expiración
2023,JUEVES SANTO,Cena,Cruz de Guía,Escuadrón de Clarines de las Reales Cofradías Fusionadas
2023,JUEVES SANTO,Cena,Cristo,Agrupación Musical Nuestro Padre Jesús de la Redención (Córdoba)
2023,JUEVES SANTO,Cena,Virgen,Banda de Música Ntra. Sra. De la Paz
2023,JUEVES SANTO,Santa Cruz,Cruz de Guía,Capilla Musical Caeli
2023,JUEVES SANTO,Santa Cruz,Virgen,Banda de Música “Maestro Eloy García” de la Archicofradía de la Expiración
2023,JUEVES SANTO,Viñeros,Cristo,Agrupación Musical San Lorenzo Mártir
2023,JUEVES SANTO,Viñeros,Virgen,"Banda de Música Santa Cecilia (Sorbas, Almería)"
2023,JUEVES SANTO,Vera Cruz,Cristo,"Banda de Música Maestro Infantes (Los Barrios, Cádiz)"
2023,JUEVES SANTO,Zamarrilla,Cristo,Banda de Cornetas y Tambores Nuestra Señora del Carmen
2023,JUEVES SANTO,Zamarrilla,Virgen,Banda de Música Zamarrilla
2023,JUEVES SANTO,Mena,Cruz de Guía,Escuadra de Gastadores y Tambores roncos de la Legión
2023,JUEVES SANTO,Mena,Cristo,"Banda de Guerra del Tercio “Duque de Alba”, II de la Legión (Ceuta) y"
2023,JUEVES SANTO,Mena,Cristo,"Banda de Música de la Brigada de la Legión, Rey Alfonso XIII con sede en Viator (Almería)"
2023,JUEVES SANTO,Mena,Cristo,"Compañía de Honores del Tercio “Duque de Alba”, II de la Legión (Ceuta)"
2023,JUEVES SANTO,Mena,Virgen,Banda de Música Ntra. Sra. de la Soledad
2023,JUEVES SANTO,Misericordia,Cruz de Guía,Banda de Cornetas y Tambores del Real Cuerpo de Bomberos
2023,JUEVES SANTO,Misericordia,Cristo,Banda de Cornetas y Tambores Ntro. Padre Jesús Cautivo
2023,JUEVES SANTO,Misericordia,Virgen,"Banda Municipal de Música “Maestro Paco Tenorio” de Arriate (Arriate, Málaga)"
2023,JUEVES SANTO,Esperanza,Cruz de Guía,Banda de Cornetas y Tambores del Paso y la Esperanza (después del recorrido oficial)
2023,JUEVES SANTO,Esperanza,Cristo,Banda Sinfónica Virgen de la Trinidad
2023,JUEVES SANTO,Esperanza,Virgen,Banda de Música de la Archicofradía del Paso y la Esperanza
2023,VIERNES SANTO,Calvario,Cristo,Banda de Música Ntra. Sra. de la Soledad
2023,VIERNES SANTO,Calvario,Virgen,Banda de Música Ntra. Sra. de la Paz
2023,VIERNES SANTO,Descendimiento,Cruz de Guía,Tambores Roncos
2023,VIERNES SANTO,Descendimiento,Cristo,Banda Juvenil de Música Cruz del Humilladero
2023,VIERNES SANTO,Descendimiento,Virgen,"Banda de Música Maestro Infantes (Los Barrios, Cádiz)"
2023,VIERNES SANTO,Dolores de San JuanDelante del Trono,Cristo,Capilla Musical
2023,VIERNES SANTO,Delante del Trono,Virgen,Capilla Musical
2023,VIERNES SANTO,Amor,Cristo,Banda de Cornetas y Tambores del Paso y la Esperanza
2023,VIERNES SANTO,Amor,Virgen,Banda de Música “Maestro Eloy García” de la Archicofradía de la Expiración
2023,VIERNES SANTO,Santo Traslado,Cruz de Guía,Guardia Romana con Tambores Roncos
2023,VIERNES SANTO,Santo Traslado,Cristo,Banda de Cornetas y Tambores Ntro. Padre Jesús Cautivo
2023,VIERNES SANTO,Santo Traslado,Virgen,Banda Sinfónica Virgen de la Trinidad
2023,VIERNES SANTO,Piedad,Cruz de Guía,Tambores Roncos de la Banda de Cornetas y Tambores de Nuestra Señora del Carmen de Huelin
2023,VIERNES SANTO,Piedad,Virgen,Banda de Música Zamarrilla
2023,VIERNES SANTO,Santo Sepulcro,Cruz de Guía,Tambores Roncos
2023,VIERNES SANTO,Santo Sepulcro,Cristo,Banda Municipal de Música de Málaga
2023,VIERNES SANTO,Santo Sepulcro,Virgen,Banda de Música de la Archicofradía del Paso y la Esperanza
2023,VIERNES SANTO,Servitas,Cruz de Guía,Tambor del Real Cuerpo de Bomberos con uniforme de Luto
2023,VIERNES SANTO,Servitas,Virgen,Tambor del Real Cuerpo de Bomberos con uniforme de Luto
2023,DOMINGO DE RESURRECCIÓN,Resucitado,Cruz de Guía,Banda de Cornetas y Tambores del Real Cuerpo de Bomberos
2023,DOMINGO DE RESURRECCIÓN,Resucitado,Cristo,Banda de Cornetas y Tambores de Nuestra Señora del Carmen
2023,DOMINGO DE RESURRECCIÓN,Resucitado,Virgen,Banda de Música Ntra. Sra. de la Paz
