ANIO,DIA,HERMANDAD,PASO,BANDA
2023,DOMINGO DE RAMOS,Pollinica,Cruz de Guía,"Banda de Cornetas y Tambores Jesús Nazareno (Almogía, Málaga)"
2023,DOMINGO DE RAMOS,Pollinica,Cristo,"Agrupación Musical Stmo. Cristo de la Clemencia (Jerez de la Frontera, Cádiz)"
2023,DOMINGO DE RAMOS,Pollinica,Virgen,"Banda Municipal de Música de Lora del Río (Lora del Río, Sevilla)"
2023,DOMINGO DE RAMOS,Lágrimas y Favores,Virgen,Banda de Música Municipal de Arahal (Sevilla)
2023,DOMINGO DE RAMOS,Dulce Nombre,Cristo,"Agrupación Musical Virgen de la Oliva (Vejer de la Frontera, Cádiz)"
2023,DOMINGO DE RAMOS,Dulce Nombre,Virgen,Banda Sinfónica Virgen de la Trinidad
2023,DOMINGO DE RAMOS,Salutación,Cristo,Agrupación Musical San Lorenzo Mártir
2023,DOMINGO DE RAMOS,Salutación,Virgen,"Banda de Música Jesús Nazareno (Almogía, Málaga)"
2023,DOMINGO DE RAMOS,Humildad y Paciencia,Cristo,Banda de Cornetas y Tambores Ntra. Sra. del Carmen
2023,DOMINGO DE RAMOS,Humildad y Paciencia,Virgen,Banda de Música Cruz del Humilladero
2023,DOMINGO DE RAMOS,Humildad,Cristo,Banda de Cornetas y Tambores del Paso y la Esperanza
2023,DOMINGO DE RAMOS,Humildad,Virgen,Banda de Música “Maestro Eloy García” de la Archicofradía de la Expiración
2023,DOMINGO DE RAMOS,Salud,Cristo,"Agrupación Musical Vera Cruz (Campillos, Málaga)"
2023,DOMINGO DE RAMOS,Salud,Virgen,Banda de Música Ntra. Sra. De la Paz
2023,DOMINGO DE RAMOS,Huerto,Cristo,"Agrupación Musical Nuestro Padre Jesús Cautivo (Estepona, Málaga)"
2023,DOMINGO DE RAMOS,Huerto,Virgen,"Banda de Música de la Vera Cruz (Almogía, Málaga)"
2023,DOMINGO DE RAMOS,Prendimiento,Cruz de Guía,Banda de Cornetas y Tambores del Real Cuerpo de Bomberos
2023,DOMINGO DE RAMOS,Prendimiento,Cristo,"Agrupación Musical Nuestra Señora de las Angustias (Alcalá la Real, Jaén)"
2023,DOMINGO DE RAMOS,Prendimiento,Virgen,Banda de Música Ntra. Sra. de la Soledad
2023,LUNES SANTO,Crucifixión,Cristo,Banda de Cornetas y Tambores de Nuestra Señora del Carmen
2023,LUNES SANTO,Crucifixión,Virgen,"Banda de Música Jesús Nazareno (Almogía, Málaga)"
2023,LUNES SANTO,Pasión,Cruz de Guía,"Banda de Cornetas y Tambores Jesús Nazareno (Almogía, Málaga)"
2023,LUNES SANTO,Pasión,Cristo,Banda de Cornetas y Tambores del Paso y la Esperanza
2023,LUNES SANTO,Pasión,Virgen,"Banda de Música Municipal de Arahal (Arahal, Sevilla)"
2023,LUNES SANTO,Columna,Cruz de Guía,"Banda de Cornetas y Tambores Dolores Coronada (Álora, Málaga)"
2023,LUNES SANTO,Columna,Abriendo sección de la Virgen,Banda de Cornetas y Tambores Gitanos
2023,LUNES SANTO,Columna,Virgen,Banda de Música Zamarrilla
2023,LUNES SANTO,Dolores del Puente,Cruz de Guía,"Banda de Cornetas y Tambores Flor entre Espinas (Loja, Granada)"
2023,LUNES SANTO,Dolores del Puente,Cristo,Banda de Música Santa Cecilia
2023,LUNES SANTO,Dolores del Puente,Virgen,Banda de Música “Maestro Eloy García” de la Archicofradía de la Expiración
2023,LUNES SANTO,Estudiantes,Cruz de Guía,"Banda de Cornetas y Tambores Santísimo Cristo de la Redención (Benalmádena, Málaga)"
2023,LUNES SANTO,Estudiantes,Cristo,Banda de Música Ntra. Sra. de la Soledad
2023,LUNES SANTO,Estudiantes,Virgen,"Banda de Música ""La Soledad"" (Cantillana, Sevilla)"
2023,LUNES SANTO,Cautivo,Cruz de Guía,Banda de Cornetas y Tambores del Real Cuerpo de Bomberos
2023,LUNES SANTO,Cautivo,Cristo,Banda de Cornetas Y Tambores Ntro. Padre Jesús Cautivo
2023,LUNES SANTO,Abriendo Sección de la,Virgen,No lleva
2023,LUNES SANTO,Abriendo Sección de la,Virgen,Banda Sinfónica Virgen de la Trinidad
