ANIO,PAG,DIA,HERMANDAD,PASO,BANDA
2022,4,,La Misión,(prosa),Banda de la Columna y Azotes en la cruz de guía y Banda de las Cigarreras en el misterio
2022,4,,Pino Montano,(prosa),"Centuria Juvenil (cruz), Encarnación de San Benito (misterio) y Carmen de Salteras (palio)"
2022,4,,Dulce Nombre de Bellavista,(prosa),Banda de la Redención y Santa Ana de Dos Hermanas
2022,4,,Pasión y Muerte,(prosa),Capilla Musical Gólgota
2022,6,,Cristo de la Corona,(prosa),Capilla Musical Nuestra Señora de la Victoria
2022,6,,Bendición y Esperanza,(prosa),Agrupación musical Fraternitas en el misterio
2022,6,,Paz y Misericordia,(prosa),Banda de Nuestra Señora de los Ángeles
2022,10,,La Milagrosa,(prosa),"El Rocío (cruz de guía), La Redención (misterio) y la Cruz Roja (palio)"
2022,10,,Torreblanca,(prosa),Agrupación La Sentencia de Jerez en el misterio y las Nieves de Olivares en el palio
2022,10,,Divino Perdón de Alcosa,(prosa),Presentación al Pueblo de Dos Hermanas en el Nazareno y la Soledad de Cantillana en el palio
2022,12,,San José Obrero,(prosa),Agrupación Musical Los Gitanos en el paso del Nazareno y la Banda de Coria del Río tras el palio
2022,12,,Padre Pío,(prosa),Santa Cecilia en el paso del Nazareno y la Banda Virgen de las Angustias de Sanlúcar la Mayor en el palio
2022,12,,San Jerónimo,(prosa),A.M. Ntro. Padre Jesús Nazareno de La Algaba
2022,14,,La Borriquita,Cruz de Guia,Banda Sagrada Columna y Azotes Paso /
2022,14,,La Borriquita,(prosa),Banda de Nuestra Señora del Sol
2022,14,,Jesús Despojado,Cruz de Guia,Agrupación Musical Juvenil Virgen de los Reyes
2022,14,,Jesús Despojado,Primer Paso,Agrupación Musical Nuestra Señora de los Reyes
2022,14,,Jesús Despojado,Segundo Paso,Liceo Municipal de Música de Moguer
2022,15,DOMINGO DE RAMOS,La Paz,Cruz de Guia,Santa María de la Esperanza (proyecto Fraternitas)
2022,15,DOMINGO DE RAMOS,La Paz,Primer Paso,Agrupación musical Nuestra Señora de la Encarnación
2022,15,DOMINGO DE RAMOS,La Paz,Segundo Paso,Banda de música de Santa Ana de Dos Hermanas
2022,16,DOMINGO DE RAMOS,La Cena,Primer Paso,Banda de Cornetas y Tambores de las Cigarreras
2022,16,DOMINGO DE RAMOS,La Cena,Segundo Paso,Capilla y escolanía salesiana María Auxiliadora
2022,16,DOMINGO DE RAMOS,La Cena,Tercer Paso,Banda del Maestro Tejera
2022,16,DOMINGO DE RAMOS,La Hiniesta,Cruz de Guia,Infantil de Santa María Magdalena de Arahal
