ANIO,DIA,HERMANDAD,TITULAR,BANDA
2023,SABADO DE PASION,ESTACION DE PENITENCIA SEMANA SANTA JEREZ,SEÑOR DE LA ENTREGA,BCT Stmo. Cristo de la Fe y el Consuelo (Martos) y BCT Rosario
2023,SABADO DE PASION,LA BORRIQUITA,CRISTO REY,BCT Rosario (Linares)
2023,SABADO DE PASION,LA BORRIQUITA,VIRGEN DE LA ESTRELLA,BM Maestro Enrique Galán (Rota)
2023,DOMINGO DE RAMOS,PASION,?,"BCT Stmo. Cristo de la Expiración, Salud y Esperanza (Huelva)"
2023,DOMINGO DE RAMOS,EL PERDON,CRISTO DEL PERDÓN,BCT Ntro. Padre Jesús de los Remedios (Castilleja de la Cuesta)
2023,DOMINGO DE RAMOS,EL PERDON,VIRGEN DEL PERPETUO SOCORRO,"BM Virgen del Castillo (Lebrija, Sevilla)"
2023,DOMINGO DE RAMOS,EL TRANSPORTE,?,BCT Ntra. Sra. del Rosario (Cádiz)
2023,DOMINGO DE RAMOS,EL TRANSPORTE,VIRGEN DE LA MISERICORDIA,BM Municipal de la Puebla del Río (Sevilla)
2023,DOMINGO DE RAMOS,LA CORONACION,CRISTO DE LA CORONACION,"BCT Vera-Cruz (Los Palacios, Sevilla)"
2023,DOMINGO DE RAMOS,LA CORONACION,VIRGEN DE LA PAZ EN SU MAYOR AFLIC -CIÓN,"A.F. Ntra. Sra. de Palomares (Trebu -jena, Cádiz) Jiménez Rueda, Manuel Morales de Turón y Viuda de Villareal con bordados son de Esperanza Elena Caro y Carrasquilla"
2023,DOMINGO DE RAMOS,LAS ANGUSTIAS,VIRGEN DE LAS ANGUSTIAS,No lleva
2023,LUNES SANTO,LA SED,CRISTO DE LA SED,BCT Ntro. Padre Jesús del Gran Poder (Granada)
2023,LUNES SANTO,LA PAZ DE FATIMA,JESUS DE LA PAZ,AM La Sentencia (Jerez)
2023,LUNES SANTO,LA PAZ DE FATIMA,VIRGEN DEL REFUGIO,"Asociación Musical Ecijana (Écija, Sevilla) Antonio Ibáñez, dorado por Antonio González. El paso de palio posee orfebrería de los Talleres Maestrante y Antonio García Falla. El diseño de los bordados fue diseñado por Fray Ricardo de Córdoba y ejecutados por Antonio Villar"
2023,LUNES SANTO,LA CANDELARIA,JESUS DE LA MISERICORDIA,"AM Lágrimas de Dolores (San Fernando, Cádiz)"
2023,LUNES SANTO,LA CANDELARIA,VIRGEN DE LA CANDELARIA,"BM Maestro Enrique Galán (Rota, Cádiz)"
2023,LUNES SANTO,SANTA CENA,SAGRADA CENA,"AM Ntra. Sra. de la Estrella (Dos Hermanas, Sevilla)"
2023,LUNES SANTO,SANTA CENA,VIRGEN DE LA PAZ Y CONCORDIA,"BM Ntro. Padre Jesús Nazareno (Rota, Cádiz)"
2023,LUNES SANTO,AMOR Y SACRIFICIO,AMOR Y SACRIFICIO,No lleva
2023,LUNES SANTO,CRISTO DE LA VIGA,CRISTO DE LA VIGA,Capilla Musical ‘Kyrie Leison’
2023,LUNES SANTO,CRISTO DE LA VIGA,VIRGEN DEL SOCORRO,"BM Maestro Agripino Lozano (San Fernando, Cádiz)"
2023,MARTES SANTO,BONDAD Y MISERICORDIA,SEÑOR DE LA BONDAD Y MISERICORDIA,"Agrupación Musical San Juan (Jerez) a mí los pies?» Jesús le respondió: «Lo que yo hago, tú no lo entiendes ahora: lo comprenderás más tarde». Le dice Pedro: «No me lavarás los pies jamás». Jesús le respondió: «Si no te lavo, no tienes parte conmigo». (Evangelio San Juan 13, 1-15)"
2023,MARTES SANTO,LA SALVACION,SANTÍSIMO CRISTO DE LA SALVACIÓN,AM ‘Polillas’ (Cádiz)
2023,MARTES SANTO,LA CLEMENCIA,CRISTO DE LA CLEMENCIA,AM Stmo. Cristo de la Clemencia (Jerez)
2023,MARTES SANTO,LA CLEMENCIA,SALUD Y ESPERANZA,"BM Municipal de Gerena (Gerena, Sevilla)"
2023,MARTES SANTO,SALUD DE SAN RAFAEL,SEÑOR DE LA SALUD,AM La Sentencia (Jerez) “Tomaron pues a Jesús y le llevaron
2023,MARTES SANTO,LA DEFENSION,CRISTO DE LA DEFENSIÓN,BCT Centuria Romana Macarena (Sevilla)
2023,MARTES SANTO,LA DEFENSION,VIRGEN DE LA O,"BM Ntra. Sra. de la Soledad (Cantillana, Sevilla)"
2023,MARTES SANTO,EL CRISTO DEL AMOR,CAUTIVO,"AM Ntra. Sra. de Valme (Dos Hermanas, Sevilla)"
2023,MARTES SANTO,EL CRISTO DEL AMOR,CRISTO DEL AMOR,BCT Ntra. Sra. de la Asunción (Jódar) El paso de misterio del Cristo del Amor es obra de Juan Mayorga bajo diseño de Dubé de Luque y dorado de Manuel Calvo
2023,MARTES SANTO,LOS JUDIOS,SEÑOR DE LAS PENAS,"AM Ntra. Sra. de la Estrella (Dos Hermanas, Sevilla)"
2023,MARTES SANTO,LOS JUDIOS,VIRGEN DEL DESCONSUELO,"BM Maestro Dueñas (El Puerto de Santa María, Cádiz)"
2023,MIERCOLES SANTO,EL SOBERANO PODER,NUESTRO PADRE JESÚS DEL SOBERANO PODER ANTE CAIFÁS,Agrupación Musical de la Sentencia (Jerez)
2023,MIERCOLES SANTO,EL CONSUELO,SEÑOR DEL AMPARO,AM La Clemencia (Jerez)
2023,MIERCOLES SANTO,EL CONSUELO,NUESTRA SEÑORA DEL CONSUELO,"BM San José Artesano (San Fernando, Cádiz)"
2023,MIERCOLES SANTO,SANTA MARTA,CRISTO DE LA CARIDAD,BCT Stmo. Cristo de la Caridad (Jerez)
2023,MIERCOLES SANTO,SANTA MARTA,MADRE DE DIOS DEL PATROCINIO,"BM Ntra. Sra. del Rosario (El Cuervo, Sevilla) to se la concedió, y él fue a retirarlo"
2023,MIERCOLES SANTO,LAS TRES CAIDAS,SEÑOR DE LAS TRES CAÍDAS,Escolanía de niños cantores de la hermandad
2023,MIERCOLES SANTO,LAS TRES CAIDAS,SANTÍSIMO CRISTO DE LA SALUD,Capilla Musical ‘Sonos Angelis’
2023,MIERCOLES SANTO,LAS TRES CAIDAS,MARÍA SANTÍSIMA DE LOS DOLORES,"BM Gerena (Sevilla). (Evangelio según San Marcos 15: 21-22) “Como pasaba por allí Simón de Cirene, padre de Alejandro y de Rufo, que regresaba del campo, lo obligaron a llevar la cruz de Jesús. Y condujeron a Jesús a un lugar llamado Gólgota, que significa: «lugar del Cráneo».”"
2023,MIERCOLES SANTO,LA FLAGELACION,SEÑOR DE LA SAGRADA FLAGELACIÓN,BCT Vera-Cruz (Utrera)
2023,MIERCOLES SANTO,LA FLAGELACION,MARÍA SANTÍSIMA DE LA AMARGURA,BM ‘Julián Cerdán’ de Sanlúcar de Barrameda (Cádiz)
2023,MIERCOLES SANTO,EL PRENDIMIENTO,JESÚS DEL PRENDIMIENTO,AM San Juan (Jerez)
2023,MIERCOLES SANTO,EL PRENDIMIENTO,MARÍA SANTÍSIMA DEL DESAMPARO,"BM Ntro. Padre Jesús Nazareno (Rota, Cádiz) a la Plaza Rafael Rivero es otro de los momentos intensos de su transitar"
2023,JUEVES SANTO,LA VERA CRUZ,SANTO LIGNUM CRUCIS,BCT Humildad (Huelva)
2023,JUEVES SANTO,LA VERA CRUZ,CRISTO DE LA ESPERANZA,BCT Humildad (Huelva)
2023,JUEVES SANTO,LA VERA CRUZ,SANTA MARÍA DE LAS LÁGRIMAS,"BM Ntro. Padre Jesús Nazareno (Rota, Cádiz)"
2023,JUEVES SANTO,LA REDENCION,JESÚS DE LA REDENCIÓN,"BCT Stmo. Cristo de la Caridad (Jerez) Jesús le respondió: «He hablado abiertamente al mundo; siempre enseñé en la sinagoga y en el Templo, donde se reúnen todos los judíos, y no he dicho nada en secreto. ¿Por qué me interrogas a mí? Pregunta a los que me han oído qué les enseñé"
2023,JUEVES SANTO,LA ORACION EN EL HUERTO,JESÚS ORANDO EN EL HUERTO,BCT Rosario (Cádiz)
2023,JUEVES SANTO,LA ORACION EN EL HUERTO,MARÍA SANTÍSIMA DE LA CONFORTACIÓN,"BM ‘Pedro Álvarez Hidalgo’ (Puerto Real, Cádiz)"
2023,JUEVES SANTO,LA LANZADA,SAGRADA LANZADA DE NUESTRO SEÑOR JESUCRISTO,"BM Ntra. Sra. del Carmen (Prado del Rey, Cádiz) Buen Fin, que no procesiona, es obra de Luis Álvarez Duarte"
2023,JUEVES SANTO,HUMILDAD Y PACIENCIA,HUMILDAD Y PACIENCIA,Capilla Musical ‘Calvarium’ (Sevilla)
2023,JUEVES SANTO,EL MAYOR DOLOR,?,AM Expiración (Salamanca)
2023,JUEVES SANTO,EL MAYOR DOLOR,NUESTRA SEÑORA DEL MAYOR DOLOR,"AF ‘Nuestra Señora de Palomares’ (Trebujena, Cádiz). mos sacerdotes y los guardias lo vieron, gritaron: «¡Crucifícalo! ¡Crucifícalo!»"
2023,MADRUGADA,EL SILENCIO,SANTO CRUCIFIJO DE LA SALUD,No lleva
2023,MADRUGADA,EL SILENCIO,MARÍA SANTÍSIMA DE LA ENCARNACIÓN,No lleva
2023,MADRUGADA,EL NAZARENO,CRUZ DE GUÍA,AM Cristo del Calvario’ de Ubrique (Cádiz)
2023,MADRUGADA,SAN JUAN,?,No lleva
2023,MADRUGADA,NUESTRA MADRE Y SENORA DEL TRASPASO,?,"BM San José Artesano (San Fernando, Cádiz) “Al salir, se encontraron con un hombre de Cirene, llamado Simón, y lo obligaron a llevar la cruz.”"
2023,MADRUGADA,NUESTRA MADRE Y SENORA DEL TRASPASO,JESÚS DE LA VÍA CRUCIS,No lleva
2023,MADRUGADA,NUESTRA MADRE Y SENORA DEL TRASPASO,MARÍA SANTÍSIMA DE LA ESPERANZA,"No lleva “Jesús, cargando sobre sí la cruz, salió de la ciudad para dirigirse al lugar llamado «del Cráneo», en hebreo, «Gólgota».”"
2023,MADRUGADA,LAS CINCO LLAGAS,CRISTO DE LA BUENA MUERTE,No lleva
2023,MADRUGADA,LAS CINCO LLAGAS,MARÍA SANTÍSIMA DEL DULCE NOMBRE,"No lleva “Cuando el centurión vio lo que había pasado, alabó a Dios, exclamando: «Realmente este hombre era un justo».”"
2023,VIERNES SANTO,LA YEDRA,JESÚS DE LA SENTENCIA,"AM ¨Ntra. Sra. de la Estrella¨ (Dos Hermanas, Sevilla)"
2023,VIERNES SANTO,LA YEDRA,NUESTRA SEÑORA DE LA ESPERANZA,"BM ‘Fernando Guerrero’ de Los Palacios y Villafranca (Sevilla), hasta la calle Arcos, y Banda de música ‘Santa Ana’ de Dos Hermanas (Sevilla)"
2023,MADRUGADA,LA MISION,NUESTRO PADRE JESÚS DE LA MISIÓN REDENTORA,BCT Santa Cruz (Almería)
2023,VIERNES SANTO,LA MISION,NUESTRA SEÑORA DE LORETO,"Coro de Capilla ‘San Pedro Nolasco’ y la hermana de su madre, María, mujer de Cleofás, y María Magdalena.”"
2023,VIERNES SANTO,LAS VINAS,?,AM ‘La Sentencia’ (Jerez)
2023,VIERNES SANTO,LAS VINAS,MARÍA SANTÍSIMA DE LA CONCEPCIÓN,"BM ‘Ciudad de Dos Hermanas’ (Dos Hermanas, Sevilla)"
2023,VIERNES SANTO,CRISTO DE LA EXPIRACION,?,AM ‘San Juan’ (Jerez)
2023,VIERNES SANTO,SAN JUAN,?,No lleva
2023,VIERNES SANTO,SAN JUAN,?,"BM ‘Ntra Sra de Palomares’ (Trebujena, Cádiz)"
2023,VIERNES SANTO,LA SOLEDAD,SAGRADO DESCENDIMIENTO,BCT ‘Stmo Cristo de la Caridad’ (Jerez)
2023,VIERNES SANTO,LA SOLEDAD,NUESTRA MADRE Y SEÑORA DE LA SOLEDAD,"BM ‘Maestro Dueñas’ (El Puerto de Santa María, Cádiz) nedrín, que también esperaba el Reino de Dios tuvo la audacia de presentarse ante Pilato para pedirle el cuerpo de Jesús. Este compró una sábana, bajó el cuerpo de Jesús, lo envolvió en ella y lo depositó en un sepulcro cavado en la roca.”"
2023,SABADO SANTO,SACRAMENTAL DE SANTIAGO,CRISTO DE LAS ALMAS,BCT Zoilo Ruiz-Mateos (Rota)
2023,SABADO SANTO,LA MORTAJA,SAGRADA MORTAJA,"Capilla Musical ‘Sonos Angel entró a ver a Pilato y le pidió el cuerpo de Jesús. Informado por el centurión, concedió el cadáver a José. Este compró una sábana y, descolgando a Jesús, lo envolvió, lo puso en un sepulcro que había excavado en la roca y rodó una losa contra la entrada del sepulcro.”"
2023,SABADO SANTO,LA MORTAJA,SANTO ENTIERRO,No lleva
2023,SABADO SANTO,LA MORTAJA,NUESTRA SEÑORA DE LA PIEDAD,"BM Ntro. Padre Jesús Nazareno (Rota, Cádiz) ver a Pilato para pedirle el cuerpo de Jesús. Pilato ordenó que se lo entregaran"
