DIA,DIA_ORDEN,ORDEN_POR_CO,NOMBRE,LOCALIZACION,HORA_SALIDA,HORA_CO,HORA_ENTRADA,MENCIONA_CCTT_AM,ACOMPANAMIENTO_RAW,CONTEXTO_FICHA
Jueves Santo,6,4,Sagrada Cena,Parroquia del Beato Álvaro de Córdoba,18:15,21:02,01:40,True,"En el paso de Nuestro Padre jesús de la Fe la Agrupación Musical Nuestro Padre Jesús de la Fe en su Sagrada Cena en el paso de palio de María Santísima de la Esperanza del Valle, Banda de Música Tubamirum.","En el paso de Nuestro Padre jesús de la Fe la Agrupación Musical Nuestro Padre Jesús de la Fe en su Sagrada Cena en el paso de palio de María Santísima de la Esperanza del Valle, Banda de Música Tubamirum. Finalización del cincelado de la sexta tanta de candelería."
Jueves Santo,6,5,Angustias,Iglesia de San Agustín,19:00,21:43,01:15,False,En el paso de Nuestra Señora de las Angustias la Banda de Música del Saucejo (Sevilla).,En el paso de Nuestra Señora de las Angustias la Banda de Música del Saucejo (Sevilla).
Jueves Santo,6,6,Cristo de Gracia,Parroquia de Nuestra Señora de Gracia (Trinitarios),19:15,22:14,03:00,True,En el paso del Santísimo Cristo de Gracia la Agrupación Musical Santísimo Cristo de Gracia (Córdoba).,"En el paso del Santísimo Cristo de Gracia la Agrupación Musical Santísimo Cristo de Gracia (Córdoba). Restauración de arbóreos y respiraderos del paso procesional, a cargo de José Luis Ojeda, restauración resplandores de San Juan y María Magdalena a cargo de talleres HERPOPLAT, papeleta de sitio y orla de cultos a cargo de Inmaculada Luque."
Viernes Santo,7,7,Buena Muerte,Real Colegiata de San Hipólito,00:00,02:15,05:20,False,Riguroso silencio en los dos pasos.,"Riguroso silencio en los dos pasos. Restauración del manto de Ntra. Sra. Reina de los Mártires, por el Instituto Andaluz de Patrimonio Histórico (IAPH)."
Viernes Santo,7,,Dolores de Alcolea,Parroquia Nuestra Señora de los Ángeles,19:30,,23:30,False,En el paso de María Santísima de los Dolores la Sociedad Filarmónica de Jaén.,En el paso de María Santísima de los Dolores la Sociedad Filarmónica de Jaén. Ocho candeleros en orfebrería plateada para el paso de palio de María Santísima de los Dolores.
Viernes Santo,7,1,Sepulcro,Iglesia (La Compañía),18:25,19:45,22:35,False,Capilla musical “Sabit” en el paso del Señor y Coral Polifónica Cantábile en el de la Virgen 49 1 Paso Nº de hermanos 580 Nº de nazarenos 115 Nº de cortejo 160,3DEABRILDE2026 Restauración del vestido de salida de Santa María Magdalena (ayuda de la Diputación Provincial de Córdoba dentro de la Convocatoria de Subvenciones para la Restauración de Patrimonio Cofrade en 2024 (BOP-A-2024-2941). Realización de cuatro faroles de acompañamiento. Dos para la Cruz de Guía y dos para el Simpecado. (Talleres HERPOPLAT). [DESPUES DE LA ETIQUETA] Capilla musical “Sabit” en el paso del Señor y Coral Polifónica Cantábile en el de la Virgen 49 1 Paso Nº de hermanos 580 Nº de nazarenos 115 Nº de cortejo 160
Viernes Santo,7,2,Soledad,Iglesia de Santa María de Guadalupe,17:00,20:10,00:30,False,En el paso de María Santísima en su Soledad la Banda de Música de “La Estrella” (Córdoba).,Túnica negra asargada con botonadura. Cubrerrostro de tejido raso negro. Cíngulo franciscano. En el paso de María Santísima en su Soledad la Banda de Música de “La Estrella” (Córdoba). Guión de Juventud con diseño de Rafael de Rueda y ejecución en Talleres Santa Victoria.
Viernes Santo,7,3,Expiración,Real Iglesia de San Pablo,19:00,20:31,23:40,False,En el paso del Santísimo Cristo de la Expiración la Capilla Musical “Ars Sacra” de Écija (Sevilla) y en el paso de Nuestra Señora del Rosario en sus Misterios Dolorosos Coronada la Banda de Música Nuestra Señora del Carmen de Villalba del Alcor (Huelva).,"En 2025 se celebró el L aniversario de la cuadrilla del paso del Santísimo Cristo de la Expiración, un hito singular al ser la primera de nuestra ciudad integrada por hermanos costaleros no profesionales. [DESPUES DE LA ETIQUETA] En el paso del Santísimo Cristo de la Expiración la Capilla Musical “Ars Sacra” de Écija (Sevilla) y en el paso de Nuestra Señora del Rosario en sus Misterios Dolorosos Coronada la Banda de Música Nuestra Señora del Carmen de Villalba del Alcor (Huelva). 51 2 Pasos Nº de hermanos 860 Nº de nazarenos 366 Nº de cortejo 760"
Viernes Santo,7,4,Descendimiento,Parroquia de San José y Espíritu Santo,19:50,20:52,00:50,True,"En el paso del Santísimo Cristo del Descendimiento, la Banda de Cornetas y Tambores Caído y Fuensanta de Córdoba. En el paso de palio de Nuestra Señora del Buen Fin, la Banda de Música El Saucejo.","En el paso del Santísimo Cristo del Descendimiento, la Banda de Cornetas y Tambores Caído y Fuensanta de Córdoba. En el paso de palio de Nuestra Señora del Buen Fin, la Banda de Música El Saucejo. Marcha procesional (Maria del Buen Fin) y tocado en punto de aguja duquesa de principios del XlX y la Virgen del Refugio tocado a partir de una toca de sobremanto de Fray Ricardo de Córdoba ."
Viernes Santo,7,5,Conversión,Iglesia de Nuestra Señora del Rosario,17:20,21:33,03:10,True,En el paso del Santísimo Cristo de la Conversión la Agrupación Musical Nuestro Padre Jesús de la Redención (Córdoba).,"Consiliario: D. Juan Diego Recio Moreno Hermano mayor: Francisco Javier Fernández Perea Túnica verde con botonadura negra, capa y cubrerrostros negro, cíngulo seda blanco, guantes blanco, y Rosario prendido al cíngulo. 3DEABRILDE2026 Restauración de la vara de Hermano Mayor, y de los Palermos del Diputado Mayor y el Fiscal de Horas. [DESPUES DE LA ETIQUETA] En el paso del Santísimo Cristo de la Conversión la Agrupación Musical Nuestro Padre Jesús de la Redención (Córdoba). Escanea el QR para conocer el recorrido y el itinerario completo 53 2 Pasos Nº de hermanos 1800 Nº de nazarenos 400 Nº de cortejo 480"
Viernes Santo,7,6,Dolores,Santuario de Nuestra Señora de los Dolores,18:50,21:54,01:15,True,"Consiliario: D. Pedro Vicente Cabello Morales Hermano mayor: Jose María Herrero Fernández Túnica y Cubrerrostro negro con cíngulo de igual color y hebillas doradas En el paso del Santísimo Cristo de la Clemencia la Banda de Cornetas y Tambores Esencia (Sevilla). En el paso de Nuestra señora de los Dolores, la Banda Sinfónica Municipal de Dos Torres (Córdoba).","Consiliario: D. Pedro Vicente Cabello Morales Hermano mayor: Jose María Herrero Fernández Túnica y Cubrerrostro negro con cíngulo de igual color y hebillas doradas En el paso del Santísimo Cristo de la Clemencia la Banda de Cornetas y Tambores Esencia (Sevilla). En el paso de Nuestra señora de los Dolores, la Banda Sinfónica Municipal de Dos Torres (Córdoba). Como insignias a destacar podemos citar la Cruz de Guía y la Vara de Hermano Mayor."
Domingo de Resurreccion,8,1,Resucitado,Parroquia de Santa Marina,09:30,11:50,15:15,True,Banda de Cornetas y Tambores “La Fusion” de Marmolejo - Lopera (Jaen) para Cruz de Guia. Agrupacion Musical Santisimo Cristo de Gracia de Cordoba para el Misterio. Banda de Musica Nuestra Señora de la Estrella de Cordoba para el Palio.,Banda de Cornetas y Tambores “La Fusion” de Marmolejo - Lopera (Jaen) para Cruz de Guia. Agrupacion Musical Santisimo Cristo de Gracia de Cordoba para el Misterio. Banda de Musica Nuestra Señora de la Estrella de Cordoba para el Palio. 25 nuevos equipos de nazareno. Nuevo juego de 38 Tulipas para los arbóreos del Paso de Misterio.
