ANIO,DIA,HERMANDAD,PASO,BANDA
2025,Viernes de Dolores,Dolores Servita,Misterio,BM Maestro Tejera (Sevilla)
2025,Sabado de Pasion,Nazareno de la Obediencia,Misterio,AM Ecce Mater (Cadiz)
2025,Domingo de Ramos,La Borriquita,Misterio,BM La Salud (Cadiz)
2025,Domingo de Ramos,La Borriquita,Palio,BM Ntra. Sra. del Carmen (Villalba del Alcor)
2025,Domingo de Ramos,La Borriquita,Palio,AF La Albaida del Aljarafe
2025,Domingo de Ramos,Despojado,Misterio,BCT Santa Cruz (Almeria)
2025,Domingo de Ramos,Despojado,Palio,BCT Santo Cristo de la Columna (Daimiel)
2025,Domingo de Ramos,Las Penas,Misterio,BCT La Union de Baena
2025,Domingo de Ramos,Las Penas,Palio,Filarmonica de Conil
2025,Domingo de Ramos,Sagrada Cena,Misterio,AM Polillas (Cadiz)
2025,Domingo de Ramos,Humildad y Paciencia,Misterio,BCT Rosario (Arriate)
2025,Domingo de Ramos,Humildad y Paciencia,Palio,BM Ntro. Padre Jesus Nazareno (Rota)
2025,Lunes Santo,Nazareno del Amor,Misterio,AM Ntro. Padre Jesus de la Salud de Los Gitanos (Sevilla)
2025,Lunes Santo,Nazareno del Amor,Palio,Filarmonica de Conil
2025,Lunes Santo,La Palma,Misterio,BCT Veracruz (Utrera)
2025,Lunes Santo,La Palma,Palio,BM Julian Cerdan (Sanlucar de Bda.)
2025,Lunes Santo,El Prendimiento,Misterio,AM La Salud (Cadiz)
2025,Lunes Santo,El Prendimiento,Palio,BM Ntra. Sra. del Rosario (El Cuervo)
2025,Lunes Santo,Veracruz,Misterio,CM Lignum Crucis (San Fernando)
2025,Lunes Santo,Veracruz,Palio,BM Enrique Montero (Chiclana)
2025,Martes Santo,Columna,Misterio,BCT Rosario de Cadiz
2025,Martes Santo,Columna,Palio,Filarmonica de Conil
2025,Martes Santo,Sanidad,Misterio,CM Lignum Crucis (San Fernando)
2025,Martes Santo,Sanidad,Palio,BM Gailin (Puerto Serrano)
2025,Martes Santo,El Caido,Misterio,AM Virgen de la Oliva (Vejer)
2025,Martes Santo,El Caido,Palio,BM Ntra. Sra. de Palomares (Trebujena)
2025,Martes Santo,Ecce-Homo,Misterio,BCT Los Gitanos (Malaga)
2025,Martes Santo,Ecce-Homo,Palio,BM Ntra. Sra. del Carmen (Prado del Rey)
2025,Martes Santo,Piedad,Misterio,BCT Stma Trinidad de Palencia
2025,Martes Santo,Piedad,Palio,BM Consolacion de Huelva
2025,Miercoles Santo,Las Aguas,Misterio,BCT Stmo Cristo de la Victoria (Leon)
2025,Miercoles Santo,Las Aguas,Misterio,AM Esperanza de Olvera
2025,Miercoles Santo,Las Aguas,Palio,Filarmonica de Conil
2025,Miercoles Santo,Cigarreras,Misterio,AM La Salud (Cadiz)
2025,Miercoles Santo,Cigarreras,Palio,BM Bollullos del Condado
2025,Miercoles Santo,Sentencia,Misterio,BCT Elevacion de Campo Criptana (Ciudad Real)
2025,Miercoles Santo,Sentencia,Palio,Banda Municipal de Lora del Rio (Sevilla)
2025,Miercoles Santo,Angustias (El Caminito),Misterio,CM San Pablo
2025,Jueves Santo,Oracion en el Huerto,Misterio,AM La Salud (Cadiz)
2025,Jueves Santo,Oracion en el Huerto,Palio,BM Ntra. Sra. del Carmen de Prado del Rey
2025,Jueves Santo,Afligidos,Misterio,BM Enrique Montero (Chiclana)
2025,Jueves Santo,Nazareno de Santa Maria,Misterio,AM Jesus Cautivo de Estepona
2025,Jueves Santo,Nazareno de Santa Maria,Palio,BM Maestro Enrique Galan de Rota
2025,Jueves Santo,Medinaceli,Misterio,No lleva
2025,Madrugada,El Perdon,Misterio,AM Polillas (Cadiz)
2025,Madrugada,El Perdon,Palio,Banda Municipal de Lora del Rio
2025,Viernes Santo,Siete Palabras,Misterio,AM La Salud (Cadiz)
2025,Viernes Santo,Expiracion,Misterio,AM Polillas Cadiz
2025,Viernes Santo,Expiracion,Palio,BM La Salud (Barbate)
2025,Viernes Santo,Descendimiento,Misterio,CM Lignum Crucis (San Fernando)
2025,Viernes Santo,Buena Muerte,Misterio,CM Calvarium (Sevilla)
2025,Viernes Santo,Buena Muerte,Palio,CM San Pablo (Cadiz)
2025,Sabado Santo,Ecce Mater Tua,Misterio,No lleva
2025,Sabado Santo,Santo Entierro,Misterio,BM Ntro. Padre Jesus Nazareno de San Fernando
2025,Sabado Santo,Santo Entierro,Palio,Filarmonica de Conil
2025,Domingo de Resurreccion,Resucitado,Misterio,AM Ecce Mater Tua
