ANIO,DIA,HERMANDAD,PASO,BANDA
2025,Domingo de Ramos,Borriquilla,Abre calle,Sección musical Nuestra Señora de las Angustias Motril (Gr)
2025,Domingo de Ramos,Borriquilla,Música misterio,Agrupación Musical María Santísima de la Estrella (Gr)
2025,Domingo de Ramos,Borriquilla,Música palio,Banda de música Nuestra Señora de la Soledad Mena (Má)
2025,Domingo de Ramos,Santa Cena,Música misterio,Banda de Cornetas y Tambores María Santísima de la Victoria (GR)
2025,Domingo de Ramos,Santa Cena,Música palio,Agrupación Músico-Cultural de la Santa Vera Cruz ‘La Pepa’ de Alhaurín el Grande (Má)
2025,Domingo de Ramos,Maravillas,Música misterio,Banda de Cornetas y Tambores Cristo de la Elevación del Campode Criptana (C.R.)
2025,Domingo de Ramos,Maravillas,Música palio,Asociación Musical San Isidro de Armilla (Gr)
2025,Domingo de Ramos,Despojado,Música misterio,Banda de Cornetas y Tambores Nuestro Padre Jesús Despojado (Gr)
2025,Domingo de Ramos,Despojado,Música palio,Banda y Unidad de Música Nuestra Señora de los Ángeles (Gr)
2025,Domingo de Ramos,Cautivo y Encarnación,Música Señor,Agrupación Musical María Santísima de la Cabeza de Exfiliana (Gr)
2025,Domingo de Ramos,Cautivo y Encarnación,Música palio,Banda de Música de Torredonjimeno (Ja)
2025,Lunes Santo,Huerto,Música misterio,Banda de Cornetas y Tambores de Nuestro Padre Jesús Despojado de sus Vestiduras (Gr)
2025,Lunes Santo,Huerto,Música palio,Asociación Musical San Isidro de Armilla (Gr)
2025,Lunes Santo,Trabajo y Luz,Música misterio,Agrupación Musical Nuestra Señora de las Angustias de Alcalá la Real (Ja)
2025,Lunes Santo,Trabajo y Luz,Música palio,Banda de Música Felipe Moreno de Cúllar Vega (Gr)
2025,Lunes Santo,Los Dolores,Música palio,Banda de Música Nuestra Señora de Los Dolores (Gr)
2025,Lunes Santo,El Rescate,Música Cruz Guía,Agrupación Musical Santa María de la Paz de El Ejido (Al)
2025,Lunes Santo,El Rescate,Música Señor,Agrupación Musical Nuestro Padre Jesús del Rescate (Gr)
