ANIO,DIA,HERMANDAD,TITULAR,BANDA
2025,SABADO DE PASION,©2025 CANAL SUR RADIO,SEÑOR DE LA ENTREGA,Banda de Cornetas y Tambores ‘Fe y Consuelo’ de Martos (Jaén) y Banda de Cornetas y Tambores ‘Nuestra Señora del Rosario’ de Cádiz
2025,SABADO DE PASION,LA BORRIQUITA,CRISTO REY,B.C.T. Stmo. Cristo de la Vera-Cruz (Los Palacios y Villafranca)
2025,SABADO DE PASION,LA BORRIQUITA,NTRA. SRA. DE LA ESTRELLA,B.M. Maestro Enrique Galán (Rota)
2025,DOMINGO DE RAMOS,LA CORONACIÓN,STMO. CRISTO DE LA CORONACIÓN,A.M. La Sentencia (Jerez)
2025,DOMINGO DE RAMOS,LA CORONACIÓN,MARÍA STMA. DE LA PAZ EN SU MAYOR AFLICCIÓN,"B.M. Maestro Dueñas (El Puerto SM) mismo corrió a cargo de Manuel Calvo (1985). El paso de palio cuenta con orfebrería de Emilio Landa. Las bambalinas y el techo fueron ejecutadas por Guillermo Carrasquilla y el manto por el taller sevillano de Sobrinos de José Caro, cuya maestra bordadora era Esperanza Elena Caro"
2025,DOMINGO DE RAMOS,EL PERDÓN,STMO. CRISTO DEL PERDÓN,B.C.T. Santísimo Cristo de los Remedios (Castilleja de la Cuesta)
2025,DOMINGO DE RAMOS,EL PERDÓN,MARÍA STMA. DEL PERPETUO SOCORRO,B.M. Virgen del Castillo (Lebrija)
2025,DOMINGO DE RAMOS,PASIÓN,NTRO. PADRE JESÚS DE LA PASIÓN,"B.C.T. Fe y Consuelo (Martos) bros de la guardia del Sanedrín, Anás, Malco y San Pedro. La talla del paso está corriendo a cargo de Francisco Verdugo Rodrigo"
2025,DOMINGO DE RAMOS,EL TRANSPORTE,NTRO. PADRE JESÚS DEL CONSUELO,B.C.T. Centuria Romana Macarena (Sevilla) y B.C.T. Presentación al Pueblo (Dos
2025,DOMINGO DE RAMOS,EL TRANSPORTE,MADRE DE DIOS DE LA MISERICORDIA,B.M Santa Ana (Dos Hermanas)
2025,LUNES SANTO,LA CANDELARIA,NTRO. PADRE JESÚS DE LAS MISERICORDIAS,"A.M. Lágrimas de Dolores (San Fernando, Cádiz)"
2025,LUNES SANTO,LA CANDELARIA,NTRA. SRA. DE LA CANDELARIA,"B.M. Virgen del Castillo (Lebrija) En el caso del paso de palio, Carlos del Corral ejecutó las primeras fases del bordado del mismo, que concluyó Ildefonso Jiménez. La orfebrería es de Manuel de los Ríos Navarro"
2025,LUNES SANTO,AMOR Y SACRIFICIO,NTRA. SRA. DEL AMOR Y SACRIFICIO,"No lleva Procesiona en un paso de caoba barnizada realizado en 1988 en los talleres de José Ignacio Soto. Sigue las líneas de las antiguas andas, de José Asencio y los hermanos Cintado"
2025,LUNES SANTO,LA VIGA,CRISTO DE LA VIGA,Capilla Musical ‘Kyrie Eleison’
2025,LUNES SANTO,LA VIGA,VIRGEN DEL SOCORRO,"B.M. Maestro Agripino Lozano (San Fernando, Cádiz) El paso de la dolorosa posee un palio de terciopelo rojo diseñado por Pedro Ramírez Pazos y bordado por un grupo de jóvenes de la corporación"
2025,LUNES SANTO,LA SAGRADA CENA,SEÑOR DE LA SAGRADA CENA,A.M. Ntra. Sra. de la Estrella (Dos Hermanas)
2025,LUNES SANTO,LA SAGRADA CENA,SANTA MARÍA DE LA PAZ Y CONCORDIA,B.M. Ntro. Padre Jesús Nazareno (Rota) Castillo Lastrucci respectivamente
2025,MARTES SANTO,LA CLEMENCIA,SANTÍSIMO CRISTO DE LA CLEMENCIA,A.M. Stmo. Cristo de la Clemencia (Jerez)
2025,MARTES SANTO,LA CLEMENCIA,MARÍA STMA. DE LA SALUD Y ESPERANZA,"B.M. Municipal de Gerena (Sevilla) El paso de palio se estrenó en la Semana Santa de 2017 y cuenta con el diseño de Francisco Javier Sánchez de los Reyes, la orfebrería de los Talleres de Varela y Orfebrería San Juan, así como con el bordado de Pedro Palenciano. El manto fue realizado en el taller de Escodo Embroydery"
2025,MARTES SANTO,LA DEFENSIÓN,CRISTO DE LA DEFENSIÓN,B.C.T. Caridad (Jerez)
2025,MARTES SANTO,LA DEFENSIÓN,MARÍA STMA. DE LA O,"B.M. Ntra. Sra. de la Soledad (Cantillana, Sevilla)"
2025,MARTES SANTO,EL AMOR,NTRO. PADRE JESÚS CAUTIVO,A.M. Ntra. Sra. de Valme (Dos Hermanas)
2025,MARTES SANTO,EL AMOR,STMO. CRISTO DEL AMOR,"B.C.T. Ntro. Padre Jesús Nazareno (Arahal) El misterio representa la escena de la Crucifixión de Jesucristo en el Monte Calvario. Junto a él se encuentran María Salomé y María de Cleofás, que son tallas anónimas, Santa María Magdalena, de Antonio Eslava Rubio (1959), y los soldados romanos que ejecutó el jerezano Antonio López (2011). El paso sigue el diseño de Antonio Dubé de Luque, cuenta con trabajos en talla de Juan Mayorga Páez y el dorado de Manuel Calvo Carmona"
2025,MARTES SANTO,LA SALVACIÓN,SANTÍSIMO CRISTO DE LA SALVACIÓN,A.M. ‘Polillas’ (Cádiz)
2025,MARTES SANTO,EL DESCONSUELO,NTRO. PADRE Y SEÑOR DE LAS PENAS,A.M. Nuestro Padre Jesús de la Redención (Sevilla)
