ANIO,PAG,DIA,HERMANDAD,PASO,BANDA
2024,4,VIERNES DE DOLORES,La Misión,(prosa),Banda de la Columna y Azotes en la Cruz de Guía y Banda de las Cigarreras en el misterio
2024,4,VIERNES DE DOLORES,Pino Montano,(prosa),"Centuria Juvenil (cruz), Encarnación de San Benito (misterio) la Puebla del Río (palio)"
2024,4,VIERNES DE DOLORES,Dulce Nombre de Bellavista,(prosa),"María Stma. del Rocío (cruz), la Redención (misterio) y Santa Ana de Dos Hermanas (palio)"
2024,4,VIERNES DE DOLORES,Pasión y Muerte,(prosa),Capilla Musical Gólgota
2024,6,VIERNES DE DOLORES,Cristo de la Corona,(prosa),"Capilla Sonos Angelis (cruz), Escolanía y Capilla Musical María Auxiliadora (en el Señor)"
2024,6,VIERNES DE DOLORES,Bendición y Esperanza,(prosa),Ntro. Padre Jesús Nazareno (cruz) Agru - pación musical Fraternitas (misterio)
2024,6,VIERNES DE DOLORES,Paz y Misericordia,(prosa),Banda de Nuestra Señora de los Ángeles
2024,10,SABADO DE PASION,La Milagrosa,(prosa),"El Rocío (cruz de guía), La Redención (misterio) y la Cruz Roja (palio)"
2024,10,SABADO DE PASION,Divino Perdón de Alcosa,(prosa),"La Resurrección en la cruz de guía, A. M. Virgen de los Reyes en el Nazareno y Ntra. Sra. del Rosario, Sanlúcar la Mayor, en el palio"
2024,10,SABADO DE PASION,Divino Perdón de Alcosa,(prosa),Juvenil de la Centuria Macarena (cruz). La Sentencia de Jerez (misterio) y Banda de las Nieves de Olivares (palio)
2024,12,SABADO DE PASION,San José Obrero,(prosa),"Las Angustias (cruz), Los Gitanos en el Nazareno, banda de Coria del Río (palio)"
2024,12,SABADO DE PASION,Padre Pío,(prosa),"Lágrimas de San Fernando (Cristo) Virgen de las Angustias,Sanlúcar la Mayor (palio)"
2024,12,SABADO DE PASION,San Jerónimo,(prosa),El Nazareno de la Algaba en el Cristo y el Nazareno de Rota en el palio
2024,12,SABADO DE PASION,El Santo Ángel,(prosa),Banda de la Puebla
2024,13,SABADO DE PASION,Las Maravillas,(prosa),Agrupación de la Encarnación tras el paso
2024,13,SABADO DE PASION,La Espiga,(prosa),Banda de CC y TT del Sol
2024,16,DOMINGO DE RAMOS,La Borriquita,Cruz de Guia,Banda Sagrada Columna y Azotes
2024,16,DOMINGO DE RAMOS,La Borriquita,(prosa),Banda CC Y TT Ntra. Sra. del Sol
2024,16,DOMINGO DE RAMOS,Jesús Despojado,Cruz de Guia,Agrupación Juvenil Virgen de los Reyes
2024,16,DOMINGO DE RAMOS,Jesús Despojado,Primer Paso,Agrupación Virgen de los Reyes
2024,16,DOMINGO DE RAMOS,Jesús Despojado,Segundo Paso,Liceo de Música de Moguer
2024,17,DOMINGO DE RAMOS,La Hiniesta,Cruz de Guia,A.M. María Stma. de las Angusitas Coronada
